idx,orig_idx,question,transformation_type,intensity,image_idx
val_Spatial_Reasoning_111_rotate2_rephrased3,val_Spatial_Reasoning_111,The motorcycle is situated in the rear of the dog.,rotate,3.0,val_Spatial_Reasoning_111_rotate2
val_Spatial_Reasoning_111_rotate2_rephrased4,val_Spatial_Reasoning_111,The motorcycle is positioned in the rear by the dog.,rotate,3.0,val_Spatial_Reasoning_111_rotate2
val_Spatial_Reasoning_111_shift1_rephrased1,val_Spatial_Reasoning_111,The dog is in front of the motorcycle.,shift,8.0,val_Spatial_Reasoning_111_shift1
val_Spatial_Reasoning_111_shift1_rephrased2,val_Spatial_Reasoning_111,The motorcycle is positioned behind the dog.,shift,8.0,val_Spatial_Reasoning_111_shift1
val_Spatial_Reasoning_111_shift1_rephrased3,val_Spatial_Reasoning_111,The dog is ahead of the motorcycle.,shift,8.0,val_Spatial_Reasoning_111_shift1
val_Spatial_Reasoning_111_shift1_rephrased4,val_Spatial_Reasoning_111,The motorcycle is situated behind the dog.,shift,8.0,val_Spatial_Reasoning_111_shift1
val_Spatial_Reasoning_111_shift2_rephrased1,val_Spatial_Reasoning_111,The dog is in front of the motorcycle.,shift,3.0,val_Spatial_Reasoning_111_shift2
val_Spatial_Reasoning_111_shift2_rephrased2,val_Spatial_Reasoning_111,The motorcycle is positioned behind the dog.,shift,3.0,val_Spatial_Reasoning_111_shift2
val_Spatial_Reasoning_111_shift2_rephrased3,val_Spatial_Reasoning_111,The dog is ahead of the motorcycle.,shift,3.0,val_Spatial_Reasoning_111_shift2
val_Spatial_Reasoning_111_shift2_rephrased4,val_Spatial_Reasoning_111,The motorcycle is situated behind the dog.,shift,3.0,val_Spatial_Reasoning_111_shift2
val_Spatial_Reasoning_111_bw1_rephrased1,val_Spatial_Reasoning_111,The dog is in front of the motorcycle.,bw,,val_Spatial_Reasoning_111_bw1
val_Spatial_Reasoning_111_bw1_rephrased2,val_Spatial_Reasoning_111,The motorcycle is positioned after the dog.,bw,,val_Spatial_Reasoning_111_bw1
val_Spatial_Reasoning_111_bw1_rephrased3,val_Spatial_Reasoning_111,The motorcycle is located directly behind the dog.,bw,,val_Spatial_Reasoning_111_bw1
val_Spatial_Reasoning_111_bw1_rephrased4,val_Spatial_Reasoning_111,The dog is ahead of the motorcycle.,bw,,val_Spatial_Reasoning_111_bw1
val_Spatial_Reasoning_111_bw2_rephrased1,val_Spatial_Reasoning_111,The dog is in front of the motorcycle.,bw,,val_Spatial_Reasoning_111_bw2
val_Spatial_Reasoning_111_bw2_rephrased2,val_Spatial_Reasoning_111,The motorcycle is positioned after the dog.,bw,,val_Spatial_Reasoning_111_bw2
val_Spatial_Reasoning_111_bw2_rephrased3,val_Spatial_Reasoning_111,The dog is ahead of the motorcycle.,bw,,val_Spatial_Reasoning_111_bw2
val_Spatial_Reasoning_111_bw2_rephrased4,val_Spatial_Reasoning_111,The motorcycle is situated following the dog.,bw,,val_Spatial_Reasoning_111_bw2
val_Spatial_Reasoning_112_contrast1_rephrased1,val_Spatial_Reasoning_112,The chair is located within the train.,contrast,4.0,val_Spatial_Reasoning_112_contrast1
val_Spatial_Reasoning_112_contrast1_rephrased2,val_Spatial_Reasoning_112,The train has the chair on board.,contrast,4.0,val_Spatial_Reasoning_112_contrast1
val_Spatial_Reasoning_112_contrast1_rephrased3,val_Spatial_Reasoning_112,The chair is a part of the train's contents.,contrast,4.0,val_Spatial_Reasoning_112_contrast1
val_Spatial_Reasoning_112_contrast1_rephrased4,val_Spatial_Reasoning_112,The chair is carried by the train.,contrast,4.0,val_Spatial_Reasoning_112_contrast1
val_Spatial_Reasoning_112_contrast2_rephrased1,val_Spatial_Reasoning_112,The chair is located inside the train.,contrast,8.0,val_Spatial_Reasoning_112_contrast2
val_Spatial_Reasoning_112_contrast2_rephrased2,val_Spatial_Reasoning_112,The train has the chair on board.,contrast,8.0,val_Spatial_Reasoning_112_contrast2
val_Spatial_Reasoning_112_contrast2_rephrased3,val_Spatial_Reasoning_112,The chair is situated within the train.,contrast,8.0,val_Spatial_Reasoning_112_contrast2
val_Spatial_Reasoning_112_contrast2_rephrased4,val_Spatial_Reasoning_112,The train is carrying the chair.,contrast,8.0,val_Spatial_Reasoning_112_contrast2
val_Spatial_Reasoning_112_blur1_rephrased1,val_Spatial_Reasoning_112,The chair is located inside the train.,blur,4.0,val_Spatial_Reasoning_112_blur1
val_Spatial_Reasoning_112_blur1_rephrased2,val_Spatial_Reasoning_112,"Inside the train, there is a chair.",blur,4.0,val_Spatial_Reasoning_112_blur1
val_Spatial_Reasoning_112_blur1_rephrased3,val_Spatial_Reasoning_112,A chair is found within the train's interior.,blur,4.0,val_Spatial_Reasoning_112_blur1
val_Spatial_Reasoning_112_blur1_rephrased4,val_Spatial_Reasoning_112,The chair is situated within the train itself.,blur,4.0,val_Spatial_Reasoning_112_blur1
val_Spatial_Reasoning_112_blur2_rephrased1,val_Spatial_Reasoning_112,The chair is located within the train.,blur,8.0,val_Spatial_Reasoning_112_blur2
val_Spatial_Reasoning_112_blur2_rephrased2,val_Spatial_Reasoning_112,The train is carrying the chair.,blur,8.0,val_Spatial_Reasoning_112_blur2
val_Spatial_Reasoning_112_blur2_rephrased3,val_Spatial_Reasoning_112,"Inside the train, there is a chair.",blur,8.0,val_Spatial_Reasoning_112_blur2
val_Spatial_Reasoning_112_blur2_rephrased4,val_Spatial_Reasoning_112,The train has the chair on board.,blur,8.0,val_Spatial_Reasoning_112_blur2
val_Spatial_Reasoning_112_noise1_rephrased1,val_Spatial_Reasoning_112,The chair is on the train.,noise,6.0,val_Spatial_Reasoning_112_noise1
val_Spatial_Reasoning_112_noise1_rephrased2,val_Spatial_Reasoning_112,The chair is located within the train.,noise,6.0,val_Spatial_Reasoning_112_noise1
val_Spatial_Reasoning_112_noise1_rephrased3,val_Spatial_Reasoning_112,The train has the chair inside it.,noise,6.0,val_Spatial_Reasoning_112_noise1
val_Spatial_Reasoning_112_noise1_rephrased4,val_Spatial_Reasoning_112,The chair is situated on the train.,noise,6.0,val_Spatial_Reasoning_112_noise1
val_Spatial_Reasoning_112_noise2_rephrased1,val_Spatial_Reasoning_112,The chair is located on the train.,noise,5.0,val_Spatial_Reasoning_112_noise2
val_Spatial_Reasoning_112_noise2_rephrased2,val_Spatial_Reasoning_112,The train has the chair in it.,noise,5.0,val_Spatial_Reasoning_112_noise2
val_Spatial_Reasoning_112_noise2_rephrased3,val_Spatial_Reasoning_112,The chair is inside the train.,noise,5.0,val_Spatial_Reasoning_112_noise2
val_Spatial_Reasoning_112_noise2_rephrased4,val_Spatial_Reasoning_112,The train is carrying the chair.,noise,5.0,val_Spatial_Reasoning_112_noise2
val_Spatial_Reasoning_112_masking1_rephrased1,val_Spatial_Reasoning_112,The chair is located on the train.,masking,6.0,val_Spatial_Reasoning_112_masking1
val_Spatial_Reasoning_112_masking1_rephrased2,val_Spatial_Reasoning_112,The train is carrying the chair.,masking,6.0,val_Spatial_Reasoning_112_masking1
val_Spatial_Reasoning_112_masking1_rephrased3,val_Spatial_Reasoning_112,The chair is present inside the train.,masking,6.0,val_Spatial_Reasoning_112_masking1
val_Spatial_Reasoning_112_masking1_rephrased4,val_Spatial_Reasoning_112,The chair is on board the train.,masking,6.0,val_Spatial_Reasoning_112_masking1
val_Spatial_Reasoning_112_masking2_rephrased1,val_Spatial_Reasoning_112,The chair is located within the train.,masking,5.0,val_Spatial_Reasoning_112_masking2
val_Spatial_Reasoning_112_masking2_rephrased2,val_Spatial_Reasoning_112,The chair is found on the train.,masking,5.0,val_Spatial_Reasoning_112_masking2
val_Spatial_Reasoning_112_masking2_rephrased3,val_Spatial_Reasoning_112,The chair is on the train.,masking,5.0,val_Spatial_Reasoning_112_masking2
val_Spatial_Reasoning_112_masking2_rephrased4,val_Spatial_Reasoning_112,The chair is inside the train.,masking,5.0,val_Spatial_Reasoning_112_masking2
val_Spatial_Reasoning_112_rotate1_rephrased1,val_Spatial_Reasoning_112,The chair is located inside the train.,rotate,4.0,val_Spatial_Reasoning_112_rotate1
val_Spatial_Reasoning_112_rotate1_rephrased2,val_Spatial_Reasoning_112,The train is carrying the chair.,rotate,4.0,val_Spatial_Reasoning_112_rotate1
val_Spatial_Reasoning_112_rotate1_rephrased3,val_Spatial_Reasoning_112,The chair is on board the train.,rotate,4.0,val_Spatial_Reasoning_112_rotate1
val_Spatial_Reasoning_112_rotate1_rephrased4,val_Spatial_Reasoning_112,The chair is situated within the train.,rotate,4.0,val_Spatial_Reasoning_112_rotate1
val_Spatial_Reasoning_112_rotate2_rephrased1,val_Spatial_Reasoning_112,The chair is located inside the train.,rotate,8.0,val_Spatial_Reasoning_112_rotate2
val_Spatial_Reasoning_112_rotate2_rephrased2,val_Spatial_Reasoning_112,The train has the chair within it.,rotate,8.0,val_Spatial_Reasoning_112_rotate2
val_Spatial_Reasoning_112_rotate2_rephrased3,val_Spatial_Reasoning_112,The chair is situated inside the train.,rotate,8.0,val_Spatial_Reasoning_112_rotate2
val_Spatial_Reasoning_112_rotate2_rephrased4,val_Spatial_Reasoning_112,The chair is on the train.,rotate,8.0,val_Spatial_Reasoning_112_rotate2
val_Spatial_Reasoning_112_shift1_rephrased1,val_Spatial_Reasoning_112,The chair is located inside the train.,shift,4.0,val_Spatial_Reasoning_112_shift1
val_Spatial_Reasoning_112_shift1_rephrased2,val_Spatial_Reasoning_112,The train has the chair within it.,shift,4.0,val_Spatial_Reasoning_112_shift1
val_Spatial_Reasoning_112_shift1_rephrased3,val_Spatial_Reasoning_112,The chair is found on the train.,shift,4.0,val_Spatial_Reasoning_112_shift1
val_Spatial_Reasoning_112_shift1_rephrased4,val_Spatial_Reasoning_112,The train is carrying the chair.,shift,4.0,val_Spatial_Reasoning_112_shift1
val_Spatial_Reasoning_112_shift2_rephrased1,val_Spatial_Reasoning_112,The chair is located inside the train.,shift,8.0,val_Spatial_Reasoning_112_shift2
val_Spatial_Reasoning_112_shift2_rephrased2,val_Spatial_Reasoning_112,The chair is on the train.,shift,8.0,val_Spatial_Reasoning_112_shift2
val_Spatial_Reasoning_112_shift2_rephrased3,val_Spatial_Reasoning_112,The train has the chair on board.,shift,8.0,val_Spatial_Reasoning_112_shift2
val_Spatial_Reasoning_112_shift2_rephrased4,val_Spatial_Reasoning_112,The chair is a part of the train's contents.,shift,8.0,val_Spatial_Reasoning_112_shift2
val_Spatial_Reasoning_112_bw1_rephrased1,val_Spatial_Reasoning_112,The chair is located inside the train.,bw,,val_Spatial_Reasoning_112_bw1
val_Spatial_Reasoning_112_bw1_rephrased2,val_Spatial_Reasoning_112,The train has the chair on board.,bw,,val_Spatial_Reasoning_112_bw1
val_Spatial_Reasoning_112_bw1_rephrased3,val_Spatial_Reasoning_112,The chair is found on the train.,bw,,val_Spatial_Reasoning_112_bw1
val_Spatial_Reasoning_112_bw1_rephrased4,val_Spatial_Reasoning_112,The chair is carried by the train.,bw,,val_Spatial_Reasoning_112_bw1
val_Spatial_Reasoning_112_bw2_rephrased1,val_Spatial_Reasoning_112,The chair is located on the train.,bw,,val_Spatial_Reasoning_112_bw2
val_Spatial_Reasoning_112_bw2_rephrased2,val_Spatial_Reasoning_112,The train is carrying the chair.,bw,,val_Spatial_Reasoning_112_bw2
val_Spatial_Reasoning_112_bw2_rephrased3,val_Spatial_Reasoning_112,The chair is on board the train.,bw,,val_Spatial_Reasoning_112_bw2
val_Spatial_Reasoning_112_bw2_rephrased4,val_Spatial_Reasoning_112,The train has the chair inside it.,bw,,val_Spatial_Reasoning_112_bw2
val_Spatial_Reasoning_113_contrast1_rephrased1,val_Spatial_Reasoning_113,The horse is in front of the zebra.,contrast,8.0,val_Spatial_Reasoning_113_contrast1
val_Spatial_Reasoning_113_contrast1_rephrased2,val_Spatial_Reasoning_113,The zebra is positioned behind the horse.,contrast,8.0,val_Spatial_Reasoning_113_contrast1
val_Spatial_Reasoning_113_contrast1_rephrased3,val_Spatial_Reasoning_113,"Behind the horse, you can find the zebra.",contrast,8.0,val_Spatial_Reasoning_113_contrast1
val_Spatial_Reasoning_113_contrast1_rephrased4,val_Spatial_Reasoning_113,The horse is ahead of the zebra.,contrast,8.0,val_Spatial_Reasoning_113_contrast1
val_Spatial_Reasoning_113_contrast2_rephrased1,val_Spatial_Reasoning_113,The horse is in front of the zebra.,contrast,7.0,val_Spatial_Reasoning_113_contrast2
val_Spatial_Reasoning_113_contrast2_rephrased2,val_Spatial_Reasoning_113,The zebra is positioned after the horse.,contrast,7.0,val_Spatial_Reasoning_113_contrast2
val_Spatial_Reasoning_113_contrast2_rephrased3,val_Spatial_Reasoning_113,The horse is preceding the zebra.,contrast,7.0,val_Spatial_Reasoning_113_contrast2
val_Spatial_Reasoning_113_contrast2_rephrased4,val_Spatial_Reasoning_113,The zebra is situated to the rear of the horse.,contrast,7.0,val_Spatial_Reasoning_113_contrast2
val_Spatial_Reasoning_113_blur1_rephrased1,val_Spatial_Reasoning_113,The horse is in front of the zebra.,blur,8.0,val_Spatial_Reasoning_113_blur1
val_Spatial_Reasoning_113_blur1_rephrased2,val_Spatial_Reasoning_113,The zebra is positioned at the rear of the horse.,blur,8.0,val_Spatial_Reasoning_113_blur1
val_Spatial_Reasoning_113_blur1_rephrased3,val_Spatial_Reasoning_113,The horse is situated ahead of the zebra.,blur,8.0,val_Spatial_Reasoning_113_blur1
val_Spatial_Reasoning_113_blur1_rephrased4,val_Spatial_Reasoning_113,The zebra is located at the back of the horse.,blur,8.0,val_Spatial_Reasoning_113_blur1
val_Spatial_Reasoning_113_blur2_rephrased1,val_Spatial_Reasoning_113,The horse has a zebra positioned directly behind it.,blur,7.0,val_Spatial_Reasoning_113_blur2
val_Spatial_Reasoning_113_blur2_rephrased2,val_Spatial_Reasoning_113,A zebra is situated directly behind the horse.,blur,7.0,val_Spatial_Reasoning_113_blur2
val_Spatial_Reasoning_113_blur2_rephrased3,val_Spatial_Reasoning_113,The horse has a zebra that is positioned behind it.,blur,7.0,val_Spatial_Reasoning_113_blur2
val_Spatial_Reasoning_113_blur2_rephrased4,val_Spatial_Reasoning_113,The zebra is located immediately behind the horse.,blur,7.0,val_Spatial_Reasoning_113_blur2
val_Spatial_Reasoning_113_noise1_rephrased1,val_Spatial_Reasoning_113,The horse has the zebra positioned at its rear.,noise,5.0,val_Spatial_Reasoning_113_noise1
val_Spatial_Reasoning_113_noise1_rephrased2,val_Spatial_Reasoning_113,The zebra is situated directly behind the horse.,noise,5.0,val_Spatial_Reasoning_113_noise1
val_Spatial_Reasoning_113_noise1_rephrased3,val_Spatial_Reasoning_113,Behind the horse is where you can find the zebra.,noise,5.0,val_Spatial_Reasoning_113_noise1
val_Spatial_Reasoning_113_noise1_rephrased4,val_Spatial_Reasoning_113,The horse is in front of the zebra is not true.,noise,5.0,val_Spatial_Reasoning_113_noise1
val_Spatial_Reasoning_113_noise2_rephrased1,val_Spatial_Reasoning_113,The horse has a zebra positioned behind it.,noise,9.0,val_Spatial_Reasoning_113_noise2
val_Spatial_Reasoning_113_noise2_rephrased2,val_Spatial_Reasoning_113,A zebra is situated directly behind the horse.,noise,9.0,val_Spatial_Reasoning_113_noise2
val_Spatial_Reasoning_113_noise2_rephrased3,val_Spatial_Reasoning_113,The zebra is located immediately behind the horse.,noise,9.0,val_Spatial_Reasoning_113_noise2
val_Spatial_Reasoning_113_noise2_rephrased4,val_Spatial_Reasoning_113,The horse is positioned in front of the zebra.,noise,9.0,val_Spatial_Reasoning_113_noise2
val_Spatial_Reasoning_113_masking1_rephrased1,val_Spatial_Reasoning_113,The horse has a zebra positioned directly behind it.,masking,5.0,val_Spatial_Reasoning_113_masking1
val_Spatial_Reasoning_113_masking1_rephrased2,val_Spatial_Reasoning_113,A zebra is situated directly behind the horse.,masking,5.0,val_Spatial_Reasoning_113_masking1
val_Spatial_Reasoning_113_masking1_rephrased3,val_Spatial_Reasoning_113,The horse is followed by a zebra in its immediate vicinity.,masking,5.0,val_Spatial_Reasoning_113_masking1
val_Spatial_Reasoning_113_masking1_rephrased4,val_Spatial_Reasoning_113,"The horse is positioned in front of a zebra, which is directly behind it.",masking,5.0,val_Spatial_Reasoning_113_masking1
val_Spatial_Reasoning_113_masking2_rephrased1,val_Spatial_Reasoning_113,The horse is in front of the zebra.,masking,9.0,val_Spatial_Reasoning_113_masking2
val_Spatial_Reasoning_113_masking2_rephrased2,val_Spatial_Reasoning_113,The zebra is positioned behind the horse.,masking,9.0,val_Spatial_Reasoning_113_masking2
val_Spatial_Reasoning_113_masking2_rephrased3,val_Spatial_Reasoning_113,"Behind the horse, you will find the zebra.",masking,9.0,val_Spatial_Reasoning_113_masking2
val_Spatial_Reasoning_113_masking2_rephrased4,val_Spatial_Reasoning_113,The zebra is situated to the rear of the horse.,masking,9.0,val_Spatial_Reasoning_113_masking2
val_Spatial_Reasoning_113_rotate1_rephrased1,val_Spatial_Reasoning_113,The horse is in front of the zebra.,rotate,8.0,val_Spatial_Reasoning_113_rotate1
val_Spatial_Reasoning_113_rotate1_rephrased2,val_Spatial_Reasoning_113,The zebra is situated to the rear of the horse.,rotate,8.0,val_Spatial_Reasoning_113_rotate1
val_Spatial_Reasoning_113_rotate1_rephrased3,val_Spatial_Reasoning_113,The horse is positioned ahead of the zebra.,rotate,8.0,val_Spatial_Reasoning_113_rotate1
val_Spatial_Reasoning_113_rotate1_rephrased4,val_Spatial_Reasoning_113,The zebra is located behind the horse.,rotate,8.0,val_Spatial_Reasoning_113_rotate1
val_Spatial_Reasoning_113_rotate2_rephrased1,val_Spatial_Reasoning_113,The horse is in front of the zebra.,rotate,7.0,val_Spatial_Reasoning_113_rotate2
val_Spatial_Reasoning_113_rotate2_rephrased2,val_Spatial_Reasoning_113,The zebra is situated behind the horse.,rotate,7.0,val_Spatial_Reasoning_113_rotate2
val_Spatial_Reasoning_113_rotate2_rephrased3,val_Spatial_Reasoning_113,"Behind the horse, you will find the zebra.",rotate,7.0,val_Spatial_Reasoning_113_rotate2
val_Spatial_Reasoning_113_rotate2_rephrased4,val_Spatial_Reasoning_113,The horse precedes the zebra.,rotate,7.0,val_Spatial_Reasoning_113_rotate2
val_Spatial_Reasoning_113_shift1_rephrased1,val_Spatial_Reasoning_113,The horse has a zebra positioned behind it.,shift,8.0,val_Spatial_Reasoning_113_shift1
val_Spatial_Reasoning_113_shift1_rephrased2,val_Spatial_Reasoning_113,A zebra is situated directly behind the horse.,shift,8.0,val_Spatial_Reasoning_113_shift1
val_Spatial_Reasoning_113_shift1_rephrased3,val_Spatial_Reasoning_113,"The horse is in front of the zebra, in a reverse order.",shift,8.0,val_Spatial_Reasoning_113_shift1
val_Spatial_Reasoning_113_shift1_rephrased4,val_Spatial_Reasoning_113,The horse is located in front of a zebra that is positioned behind it.,shift,8.0,val_Spatial_Reasoning_113_shift1
val_Spatial_Reasoning_113_shift2_rephrased1,val_Spatial_Reasoning_113,The horse is in front of the zebra.,shift,7.0,val_Spatial_Reasoning_113_shift2
val_Spatial_Reasoning_113_shift2_rephrased2,val_Spatial_Reasoning_113,The zebra is situated behind the horse.,shift,7.0,val_Spatial_Reasoning_113_shift2
val_Spatial_Reasoning_113_shift2_rephrased3,val_Spatial_Reasoning_113,The horse is positioned ahead of the zebra.,shift,7.0,val_Spatial_Reasoning_113_shift2
val_Spatial_Reasoning_113_shift2_rephrased4,val_Spatial_Reasoning_113,The zebra is located at the back of the horse.,shift,7.0,val_Spatial_Reasoning_113_shift2
val_Spatial_Reasoning_113_bw1_rephrased1,val_Spatial_Reasoning_113,The horse is in front of the zebra.,bw,,val_Spatial_Reasoning_113_bw1
val_Spatial_Reasoning_113_bw1_rephrased2,val_Spatial_Reasoning_113,The zebra is situated to the rear of the horse.,bw,,val_Spatial_Reasoning_113_bw1
val_Spatial_Reasoning_113_bw1_rephrased3,val_Spatial_Reasoning_113,The horse is positioned in front of the zebra.,bw,,val_Spatial_Reasoning_113_bw1
val_Spatial_Reasoning_113_bw1_rephrased4,val_Spatial_Reasoning_113,The zebra is located behind the horse.,bw,,val_Spatial_Reasoning_113_bw1
val_Spatial_Reasoning_113_bw2_rephrased1,val_Spatial_Reasoning_113,The horse is in front of the zebra.,bw,,val_Spatial_Reasoning_113_bw2
val_Spatial_Reasoning_113_bw2_rephrased2,val_Spatial_Reasoning_113,The zebra is situated behind the horse.,bw,,val_Spatial_Reasoning_113_bw2
val_Spatial_Reasoning_113_bw2_rephrased3,val_Spatial_Reasoning_113,"Behind the horse, you will find the zebra.",bw,,val_Spatial_Reasoning_113_bw2
val_Spatial_Reasoning_113_bw2_rephrased4,val_Spatial_Reasoning_113,The zebra is positioned to the rear of the horse.,bw,,val_Spatial_Reasoning_113_bw2
val_Spatial_Reasoning_114_contrast1_rephrased1,val_Spatial_Reasoning_114,The laptop is in physical contact with the bench.,contrast,6.0,val_Spatial_Reasoning_114_contrast1
val_Spatial_Reasoning_114_contrast1_rephrased2,val_Spatial_Reasoning_114,The laptop is resting against the bench.,contrast,6.0,val_Spatial_Reasoning_114_contrast1
val_Spatial_Reasoning_114_contrast1_rephrased3,val_Spatial_Reasoning_114,The laptop is in direct contact with the bench.,contrast,6.0,val_Spatial_Reasoning_114_contrast1
val_Spatial_Reasoning_114_contrast1_rephrased4,val_Spatial_Reasoning_114,The laptop is making contact with the bench.,contrast,6.0,val_Spatial_Reasoning_114_contrast1
