idx,question,orig_idx
val_Spatial_Relation_3_rephrased4,Is the bed placed to the right of the dining table?,val_Spatial_Relation_3
val_Spatial_Relation_3_rephrased5,Is the bed situated on the right-hand side of the dining table?,val_Spatial_Relation_3
val_Spatial_Relation_3_rephrased6,Is the bed located on the right side of the dining table?,val_Spatial_Relation_3
val_Spatial_Relation_3_rephrased7,Is the bed positioned on the right side of the dining table?,val_Spatial_Relation_3
val_Spatial_Relation_3_rephrased8,Is the bed on the right-hand side of the dining table?,val_Spatial_Relation_3
val_Spatial_Relation_3_rephrased9,Is the bed to the right of the dining table's placement?,val_Spatial_Relation_3
val_Spatial_Relation_3_rephrased10,Is the bed on the right side of the dining table's location?,val_Spatial_Relation_3
val_Spatial_Relation_3_rephrased11,Is the right side of the dining table where the bed is?,val_Spatial_Relation_3
val_Spatial_Relation_3_rephrased12,Is the bed found on the right side of the dining table?,val_Spatial_Relation_3
val_Spatial_Relation_3_rephrased13,Is the bed located adjacent to the right side of the dining table?,val_Spatial_Relation_3
val_Spatial_Relation_3_rephrased14,Is the bed situated in proximity to the right side of the dining table?,val_Spatial_Relation_3
val_Spatial_Relation_4_rephrased1,Is the bowl situated in front of the apple?,val_Spatial_Relation_4
val_Spatial_Relation_4_rephrased2,Is the apple in front of the bowl?,val_Spatial_Relation_4
val_Spatial_Relation_4_rephrased3,Is the bowl positioned in front of the apple?,val_Spatial_Relation_4
val_Spatial_Relation_4_rephrased4,Is the apple placed in front of the bowl?,val_Spatial_Relation_4
val_Spatial_Relation_4_rephrased5,Is there a bowl in front of the apple?,val_Spatial_Relation_4
val_Spatial_Relation_4_rephrased6,Is the bowl located in front of the apple?,val_Spatial_Relation_4
val_Spatial_Relation_4_rephrased7,Is the bowl in a position in front of the apple?,val_Spatial_Relation_4
val_Spatial_Relation_4_rephrased8,Is the apple located in front of the bowl?,val_Spatial_Relation_4
val_Spatial_Relation_4_rephrased9,Is the bowl facing the apple?,val_Spatial_Relation_4
val_Spatial_Relation_4_rephrased10,Is the bowl situated ahead of the apple?,val_Spatial_Relation_4
val_Spatial_Relation_4_rephrased11,Is the bowl positioned ahead of the apple?,val_Spatial_Relation_4
val_Spatial_Relation_4_rephrased12,Is the apple situated in front of the bowl?,val_Spatial_Relation_4
val_Spatial_Relation_4_rephrased13,Is the bowl directly in front of the apple?,val_Spatial_Relation_4
val_Spatial_Relation_4_rephrased14,Is the bowl in a position directly in front of the apple?,val_Spatial_Relation_4
val_Spatial_Relation_5_rephrased1,Is the individual situated at the highest point of the bed?,val_Spatial_Relation_5
val_Spatial_Relation_5_rephrased2,Is the person located at the top of the bed?,val_Spatial_Relation_5
val_Spatial_Relation_5_rephrased3,Are they situated above the bed?,val_Spatial_Relation_5
val_Spatial_Relation_5_rephrased4,Is the person at the uppermost position on the bed?,val_Spatial_Relation_5
val_Spatial_Relation_5_rephrased5,Is the person positioned at the highest level of the bed?,val_Spatial_Relation_5
val_Spatial_Relation_5_rephrased6,Is the person on the upper side of the bed?,val_Spatial_Relation_5
val_Spatial_Relation_5_rephrased7,Are they on the top layer of the bed?,val_Spatial_Relation_5
val_Spatial_Relation_5_rephrased8,Is the person situated at the top of the bed's surface?,val_Spatial_Relation_5
val_Spatial_Relation_5_rephrased9,Is the person in the highest position on the bed?,val_Spatial_Relation_5
val_Spatial_Relation_5_rephrased10,Are they at the top of the bed's vertical axis?,val_Spatial_Relation_5
val_Spatial_Relation_5_rephrased11,Is the person located above all other objects on the bed?,val_Spatial_Relation_5
val_Spatial_Relation_5_rephrased12,Is the person at the highest point of the bed's structure?,val_Spatial_Relation_5
val_Spatial_Relation_5_rephrased13,Are they on the topmost part of the bed?,val_Spatial_Relation_5
val_Spatial_Relation_5_rephrased14,Is the person positioned above the bed's lower areas?,val_Spatial_Relation_5
val_Spatial_Relation_6_rephrased1,Is the bicycle currently located on the bus?,val_Spatial_Relation_6
val_Spatial_Relation_6_rephrased2,Is there a bicycle on the bus at the moment?,val_Spatial_Relation_6
val_Spatial_Relation_6_rephrased3,Is the bicycle present on the bus?,val_Spatial_Relation_6
val_Spatial_Relation_6_rephrased4,Is the bicycle on board the bus?,val_Spatial_Relation_6
val_Spatial_Relation_6_rephrased5,Does the bicycle happen to be on the bus?,val_Spatial_Relation_6
val_Spatial_Relation_6_rephrased6,Is the bicycle situated on the bus?,val_Spatial_Relation_6
val_Spatial_Relation_6_rephrased7,Is the bicycle positioned on the bus?,val_Spatial_Relation_6
val_Spatial_Relation_6_rephrased8,Is the bicycle located on the bus?,val_Spatial_Relation_6
val_Spatial_Relation_6_rephrased9,Is the bicycle on the bus right now?,val_Spatial_Relation_6
val_Spatial_Relation_6_rephrased10,Is the bicycle occupying space on the bus?,val_Spatial_Relation_6
val_Spatial_Relation_6_rephrased11,Is the bicycle placed on the bus?,val_Spatial_Relation_6
val_Spatial_Relation_6_rephrased12,Is the bicycle on the bus at this time?,val_Spatial_Relation_6
val_Spatial_Relation_6_rephrased13,Is the bicycle situated inside the bus?,val_Spatial_Relation_6
val_Spatial_Relation_6_rephrased14,Is the bicycle on the bus as we speak?,val_Spatial_Relation_6
val_Spatial_Relation_7_rephrased1,Is the person located adjacent to the banana?,val_Spatial_Relation_7
val_Spatial_Relation_7_rephrased2,Is there a person situated next to the banana?,val_Spatial_Relation_7
val_Spatial_Relation_7_rephrased3,Is the individual standing beside the banana?,val_Spatial_Relation_7
val_Spatial_Relation_7_rephrased4,Is the person adjacent to the banana present?,val_Spatial_Relation_7
val_Spatial_Relation_7_rephrased5,Is the individual next to the banana?,val_Spatial_Relation_7
val_Spatial_Relation_7_rephrased6,Is the person positioned near the banana?,val_Spatial_Relation_7
val_Spatial_Relation_7_rephrased7,Is there a person standing next to the banana?,val_Spatial_Relation_7
val_Spatial_Relation_7_rephrased8,Is the person located beside the banana?,val_Spatial_Relation_7
val_Spatial_Relation_7_rephrased9,Is the individual close to the banana?,val_Spatial_Relation_7
val_Spatial_Relation_7_rephrased10,Is the person situated next to the banana?,val_Spatial_Relation_7
val_Spatial_Relation_7_rephrased11,Does a person exist next to the banana?,val_Spatial_Relation_7
val_Spatial_Relation_7_rephrased12,Is the individual positioned adjacent to the banana?,val_Spatial_Relation_7
val_Spatial_Relation_7_rephrased13,Is the person close to the banana in proximity?,val_Spatial_Relation_7
val_Spatial_Relation_7_rephrased14,Is the individual located beside the banana in proximity?,val_Spatial_Relation_7
val_Spatial_Relation_8_rephrased1,Is the individual handling the kite?,val_Spatial_Relation_8
val_Spatial_Relation_8_rephrased2,Does the person have physical contact with the kite?,val_Spatial_Relation_8
val_Spatial_Relation_8_rephrased3,Is someone touching the kite at the moment?,val_Spatial_Relation_8
val_Spatial_Relation_8_rephrased4,Is a person currently holding onto the kite?,val_Spatial_Relation_8
val_Spatial_Relation_8_rephrased5,Is the individual in contact with the kite?,val_Spatial_Relation_8
val_Spatial_Relation_8_rephrased6,Is the person who is with the kite touching it?,val_Spatial_Relation_8
val_Spatial_Relation_8_rephrased7,Is a person in contact with the kite?,val_Spatial_Relation_8
val_Spatial_Relation_8_rephrased8,Is the individual holding onto the kite?,val_Spatial_Relation_8
val_Spatial_Relation_8_rephrased9,Is a person physically in contact with the kite?,val_Spatial_Relation_8
val_Spatial_Relation_8_rephrased10,Does the person have their hand on the kite?,val_Spatial_Relation_8
val_Spatial_Relation_8_rephrased11,Is the person holding the kite?,val_Spatial_Relation_8
val_Spatial_Relation_8_rephrased12,Is a person currently touching the kite?,val_Spatial_Relation_8
val_Spatial_Relation_8_rephrased13,Is the individual in physical contact with the kite?,val_Spatial_Relation_8
val_Spatial_Relation_8_rephrased14,Is the person who is holding the kite touching it?,val_Spatial_Relation_8
val_Spatial_Relation_9_rephrased1,Is the hair dryer located to the left of the individual?,val_Spatial_Relation_9
val_Spatial_Relation_9_rephrased2,Is the hair dryer positioned to the left of the person?,val_Spatial_Relation_9
val_Spatial_Relation_9_rephrased3,Is the hair dryer situated to the left of the person?,val_Spatial_Relation_9
val_Spatial_Relation_9_rephrased4,Is the hair dryer placed to the left of the individual?,val_Spatial_Relation_9
val_Spatial_Relation_9_rephrased5,Is the hair dryer on the left side of the person?,val_Spatial_Relation_9
val_Spatial_Relation_9_rephrased6,Is the hair dryer located to the left of the subject?,val_Spatial_Relation_9
val_Spatial_Relation_9_rephrased7,Is the hair dryer to the left of the person in question?,val_Spatial_Relation_9
val_Spatial_Relation_9_rephrased8,Is the hair dryer positioned left of the individual?,val_Spatial_Relation_9
val_Spatial_Relation_9_rephrased9,Is the hair dryer situated left of the person?,val_Spatial_Relation_9
val_Spatial_Relation_9_rephrased10,Is the hair dryer to the left of the person being referred to?,val_Spatial_Relation_9
val_Spatial_Relation_9_rephrased11,Is the hair dryer on the left side of the individual?,val_Spatial_Relation_9
val_Spatial_Relation_9_rephrased12,Is the hair dryer located left of the person in question?,val_Spatial_Relation_9
val_Spatial_Relation_9_rephrased13,Is the hair dryer to the left of the subject being described?,val_Spatial_Relation_9
val_Spatial_Relation_9_rephrased14,Is the hair dryer left of the person being discussed?,val_Spatial_Relation_9
val_Spatial_Relation_10_rephrased1,Is the laptop in physical contact with the person?,val_Spatial_Relation_10
val_Spatial_Relation_10_rephrased2,Does the laptop have direct contact with the person?,val_Spatial_Relation_10
val_Spatial_Relation_10_rephrased3,Is the laptop in contact with the person?,val_Spatial_Relation_10
val_Spatial_Relation_10_rephrased4,Does the person have the laptop touching them?,val_Spatial_Relation_10
val_Spatial_Relation_10_rephrased5,Is the laptop making contact with the person?,val_Spatial_Relation_10
val_Spatial_Relation_10_rephrased6,Is the person in contact with the laptop?,val_Spatial_Relation_10
val_Spatial_Relation_10_rephrased7,Is the laptop's surface in contact with the person?,val_Spatial_Relation_10
val_Spatial_Relation_10_rephrased8,Does the laptop's edge touch the person?,val_Spatial_Relation_10
val_Spatial_Relation_10_rephrased9,Is the laptop's edge in contact with the person?,val_Spatial_Relation_10
val_Spatial_Relation_10_rephrased10,Is the person's body touching the laptop?,val_Spatial_Relation_10
val_Spatial_Relation_10_rephrased11,Does the laptop's surface touch the person's body?,val_Spatial_Relation_10
val_Spatial_Relation_10_rephrased12,Is the laptop touching the person's body?,val_Spatial_Relation_10
val_Spatial_Relation_10_rephrased13,Does the person's skin have the laptop touching it?,val_Spatial_Relation_10
val_Spatial_Relation_10_rephrased14,Is the laptop in direct contact with the person's body?,val_Spatial_Relation_10
val_Spatial_Relation_11_rephrased1,Is the individual standing on top of the elephant?,val_Spatial_Relation_11
val_Spatial_Relation_11_rephrased2,Is a person situated above the elephant?,val_Spatial_Relation_11
val_Spatial_Relation_11_rephrased3,Is someone located at the top of the elephant?,val_Spatial_Relation_11
val_Spatial_Relation_11_rephrased4,Does the person occupy the highest position on the elephant?,val_Spatial_Relation_11
val_Spatial_Relation_11_rephrased5,Is the person in the uppermost position on the elephant?,val_Spatial_Relation_11
val_Spatial_Relation_11_rephrased6,Is there a person on the upper surface of the elephant?,val_Spatial_Relation_11
val_Spatial_Relation_11_rephrased7,Is the person perched atop the elephant?,val_Spatial_Relation_11
val_Spatial_Relation_11_rephrased8,Is a human being positioned at the top of the elephant?,val_Spatial_Relation_11
val_Spatial_Relation_11_rephrased9,Is the person at the highest point on the elephant?,val_Spatial_Relation_11
val_Spatial_Relation_11_rephrased10,Is the person standing at the summit of the elephant?,val_Spatial_Relation_11
val_Spatial_Relation_11_rephrased11,Is there an individual on the top of the elephant?,val_Spatial_Relation_11
val_Spatial_Relation_11_rephrased12,Is the person located on top of the elephant's back?,val_Spatial_Relation_11
val_Spatial_Relation_11_rephrased13,Is the person positioned at the topmost part of the elephant?,val_Spatial_Relation_11
val_Spatial_Relation_11_rephrased14,Is someone on top of the elephant's head?,val_Spatial_Relation_11
val_Spatial_Relation_12_rephrased1,Is the cat inside the suitcase?,val_Spatial_Relation_12
val_Spatial_Relation_12_rephrased2,Does the suitcase hold the cat?,val_Spatial_Relation_12
val_Spatial_Relation_12_rephrased3,Is there a cat in the suitcase?,val_Spatial_Relation_12
val_Spatial_Relation_12_rephrased4,Does the cat fit inside the suitcase?,val_Spatial_Relation_12
val_Spatial_Relation_12_rephrased5,Is the suitcase carrying the cat?,val_Spatial_Relation_12
val_Spatial_Relation_12_rephrased6,Does the suitcase contain a cat?,val_Spatial_Relation_12
val_Spatial_Relation_12_rephrased7,Is the cat packed in the suitcase?,val_Spatial_Relation_12
val_Spatial_Relation_12_rephrased8,Does the cat reside in the suitcase?,val_Spatial_Relation_12
val_Spatial_Relation_12_rephrased9,Is the suitcase storing the cat?,val_Spatial_Relation_12
val_Spatial_Relation_12_rephrased10,Is the cat enclosed in the suitcase?,val_Spatial_Relation_12
val_Spatial_Relation_12_rephrased11,Is the suitcase home to the cat?,val_Spatial_Relation_12
val_Spatial_Relation_12_rephrased12,Does the cat occupy the suitcase?,val_Spatial_Relation_12
val_Spatial_Relation_12_rephrased13,Is the cat found inside the suitcase?,val_Spatial_Relation_12
val_Spatial_Relation_12_rephrased14,Does the suitcase house the cat?,val_Spatial_Relation_12
val_Spatial_Relation_13_rephrased1,Is the cat making contact with the wine glass?,val_Spatial_Relation_13
val_Spatial_Relation_13_rephrased2,Is the wine glass being touched by the cat?,val_Spatial_Relation_13
val_Spatial_Relation_13_rephrased3,Does the cat have its body in contact with the wine glass?,val_Spatial_Relation_13
val_Spatial_Relation_13_rephrased4,Is the cat's body in physical contact with the wine glass?,val_Spatial_Relation_13
val_Spatial_Relation_13_rephrased5,Is the wine glass in direct contact with the cat?,val_Spatial_Relation_13
val_Spatial_Relation_13_rephrased6,Is the cat in close proximity to the wine glass?,val_Spatial_Relation_13
val_Spatial_Relation_13_rephrased7,Is the cat physically near the wine glass?,val_Spatial_Relation_13
val_Spatial_Relation_13_rephrased8,Is the cat in contact with the wine glass at the moment?,val_Spatial_Relation_13
val_Spatial_Relation_13_rephrased9,Is the cat currently touching the wine glass?,val_Spatial_Relation_13
val_Spatial_Relation_13_rephrased10,Is the wine glass being physically touched by the cat?,val_Spatial_Relation_13
val_Spatial_Relation_13_rephrased11,Does the cat have physical contact with the wine glass?,val_Spatial_Relation_13
val_Spatial_Relation_13_rephrased12,Is the cat's surface in contact with the wine glass?,val_Spatial_Relation_13
val_Spatial_Relation_13_rephrased13,Is the cat's part of its body in contact with the wine glass?,val_Spatial_Relation_13
val_Spatial_Relation_13_rephrased14,Is the cat's body part touching the wine glass?,val_Spatial_Relation_13
val_Spatial_Relation_14_rephrased1,Does the person have physical contact with the donut?,val_Spatial_Relation_14
val_Spatial_Relation_14_rephrased2,Is the person in direct contact with the donut?,val_Spatial_Relation_14
val_Spatial_Relation_14_rephrased3,Is the person's hand or body in contact with the donut?,val_Spatial_Relation_14
val_Spatial_Relation_14_rephrased4,Is the person's skin touching the donut?,val_Spatial_Relation_14
val_Spatial_Relation_14_rephrased5,Is the person making contact with the donut?,val_Spatial_Relation_14
val_Spatial_Relation_14_rephrased6,Is the person's hand or fingers on the donut?,val_Spatial_Relation_14
val_Spatial_Relation_14_rephrased7,Is the person's body part in contact with the donut?,val_Spatial_Relation_14
val_Spatial_Relation_14_rephrased8,Is the person in contact with the donut's surface?,val_Spatial_Relation_14
val_Spatial_Relation_14_rephrased9,Is the person's skin in contact with the donut's surface?,val_Spatial_Relation_14
val_Spatial_Relation_14_rephrased10,Is the person touching the donut's surface?,val_Spatial_Relation_14
val_Spatial_Relation_14_rephrased11,Is the person in physical contact with the donut's surface?,val_Spatial_Relation_14
val_Spatial_Relation_14_rephrased12,Does the person's hand or a body part touch the donut?,val_Spatial_Relation_14
val_Spatial_Relation_14_rephrased13,Is the person's hand or any body part touching the donut?,val_Spatial_Relation_14
val_Spatial_Relation_14_rephrased14,Is the person's body touching the donut directly?,val_Spatial_Relation_14
val_Spatial_Relation_15_rephrased1,Is the vase located in the area behind the cat?,val_Spatial_Relation_15
val_Spatial_Relation_15_rephrased2,Is the vase positioned behind the cat?,val_Spatial_Relation_15
val_Spatial_Relation_15_rephrased3,Is the vase situated behind the cat?,val_Spatial_Relation_15
val_Spatial_Relation_15_rephrased4,Is the vase placed behind the cat?,val_Spatial_Relation_15
val_Spatial_Relation_15_rephrased5,Is the vase located behind the feline?,val_Spatial_Relation_15
val_Spatial_Relation_15_rephrased6,Is the vase positioned behind the feline creature?,val_Spatial_Relation_15
val_Spatial_Relation_15_rephrased7,Is the vase situated behind the feline animal?,val_Spatial_Relation_15
val_Spatial_Relation_15_rephrased8,Is the vase placed behind the cat in that position?,val_Spatial_Relation_15
val_Spatial_Relation_15_rephrased9,Is the vase located in the space behind the cat?,val_Spatial_Relation_15
val_Spatial_Relation_15_rephrased10,Is the vase behind the domesticated feline?,val_Spatial_Relation_15
val_Spatial_Relation_15_rephrased11,Is the vase positioned in the area behind the cat?,val_Spatial_Relation_15
val_Spatial_Relation_15_rephrased12,Is the vase situated in the space behind the cat?,val_Spatial_Relation_15
val_Spatial_Relation_15_rephrased13,Is the vase placed behind the feline that is sitting there?,val_Spatial_Relation_15
val_Spatial_Relation_15_rephrased14,Is the vase located behind the cat that is sitting there?,val_Spatial_Relation_15
val_Spatial_Relation_16_rephrased1,Are the bus and motorcycle parallel to each other?,val_Spatial_Relation_16
val_Spatial_Relation_16_rephrased2,Is the motorcycle parallel to the bus?,val_Spatial_Relation_16
val_Spatial_Relation_16_rephrased3,Are the two vehicles parallel?,val_Spatial_Relation_16
val_Spatial_Relation_16_rephrased4,Is the bus parallel to the other vehicle?,val_Spatial_Relation_16
val_Spatial_Relation_16_rephrased5,Does the bus have the same orientation as the motorcycle?,val_Spatial_Relation_16
val_Spatial_Relation_16_rephrased6,Is the motorcycle and bus aligned in the same direction?,val_Spatial_Relation_16
val_Spatial_Relation_16_rephrased7,Is the orientation of the bus the same as the motorcycle's?,val_Spatial_Relation_16
val_Spatial_Relation_16_rephrased8,Are the motorcycle and bus in a parallel position?,val_Spatial_Relation_16
val_Spatial_Relation_16_rephrased9,Is the bus and motorcycle aligned parallel to each other?,val_Spatial_Relation_16
val_Spatial_Relation_16_rephrased10,Is the motorcycle parallel to the bus in terms of orientation?,val_Spatial_Relation_16
val_Spatial_Relation_16_rephrased11,Are the bus and motorcycle parallel to one another?,val_Spatial_Relation_16
val_Spatial_Relation_16_rephrased12,Is the bus parallel to the motorcycle in terms of alignment?,val_Spatial_Relation_16
val_Spatial_Relation_16_rephrased13,Is the orientation of the motorcycle the same as the bus's?,val_Spatial_Relation_16
val_Spatial_Relation_16_rephrased14,Does the bus share the same orientation as the motorcycle?,val_Spatial_Relation_16
val_Spatial_Relation_17_rephrased1,Is the dog sitting on the motorcycle?,val_Spatial_Relation_17
val_Spatial_Relation_17_rephrased2,Is there a dog on the motorcycle?,val_Spatial_Relation_17
val_Spatial_Relation_17_rephrased3,Is the dog currently on the motorcycle?,val_Spatial_Relation_17
val_Spatial_Relation_17_rephrased4,Does the dog have a ride on the motorcycle?,val_Spatial_Relation_17
val_Spatial_Relation_17_rephrased5,Is the motorcycle occupied by a dog?,val_Spatial_Relation_17
val_Spatial_Relation_17_rephrased6,Is a dog located on the motorcycle?,val_Spatial_Relation_17
val_Spatial_Relation_17_rephrased7,Is the dog positioned on the motorcycle?,val_Spatial_Relation_17
val_Spatial_Relation_17_rephrased8,Is the motorcycle carrying the dog?,val_Spatial_Relation_17
val_Spatial_Relation_17_rephrased9,Is there a canine on the motorcycle?,val_Spatial_Relation_17
val_Spatial_Relation_17_rephrased10,Is the dog perched on the motorcycle?,val_Spatial_Relation_17
val_Spatial_Relation_17_rephrased11,Is the motorcycle being ridden by a dog?,val_Spatial_Relation_17
val_Spatial_Relation_17_rephrased12,Is the dog situated on the motorcycle?,val_Spatial_Relation_17
val_Spatial_Relation_17_rephrased13,Is a dog sitting on the motorcycle right now?,val_Spatial_Relation_17
val_Spatial_Relation_17_rephrased14,Is the dog mounted on the motorcycle?,val_Spatial_Relation_17
val_Spatial_Relation_18_rephrased1,Is the dining table positioned directly in front of the person?,val_Spatial_Relation_18
val_Spatial_Relation_18_rephrased2,Is the dining table located in front of the person?,val_Spatial_Relation_18
val_Spatial_Relation_18_rephrased3,Is the dining table situated in front of the person?,val_Spatial_Relation_18
val_Spatial_Relation_18_rephrased4,Is the dining table directly in front of the person?,val_Spatial_Relation_18
val_Spatial_Relation_18_rephrased5,Is the person standing in front of the dining table?,val_Spatial_Relation_18
val_Spatial_Relation_18_rephrased6,Is the dining table facing the person?,val_Spatial_Relation_18
val_Spatial_Relation_18_rephrased7,Is the dining table in line with the person?,val_Spatial_Relation_18
val_Spatial_Relation_18_rephrased8,Is the dining table positioned ahead of the person?,val_Spatial_Relation_18
val_Spatial_Relation_18_rephrased9,Is the dining table located before the person?,val_Spatial_Relation_18
val_Spatial_Relation_18_rephrased10,Is the dining table situated ahead of the person?,val_Spatial_Relation_18
val_Spatial_Relation_18_rephrased11,Is the dining table immediately in front of the person?,val_Spatial_Relation_18
val_Spatial_Relation_18_rephrased12,Is the dining table in front of the individual?,val_Spatial_Relation_18
val_Spatial_Relation_18_rephrased13,Is the dining table in the person's line of sight?,val_Spatial_Relation_18
val_Spatial_Relation_18_rephrased14,Is the dining table placed in front of the person?,val_Spatial_Relation_18
val_Spatial_Relation_19_rephrased1,Is the laptop positioned in front of the chair?,val_Spatial_Relation_19
val_Spatial_Relation_19_rephrased2,Is the laptop directed towards the chair?,val_Spatial_Relation_19
val_Spatial_Relation_19_rephrased3,Is the laptop turned towards the chair?,val_Spatial_Relation_19
val_Spatial_Relation_19_rephrased4,Is the laptop oriented towards the chair?,val_Spatial_Relation_19
val_Spatial_Relation_19_rephrased5,Is the laptop facing the direction of the chair?,val_Spatial_Relation_19
val_Spatial_Relation_19_rephrased6,Is the laptop situated in front of the chair?,val_Spatial_Relation_19
val_Spatial_Relation_19_rephrased7,Is the laptop pointing towards the chair?,val_Spatial_Relation_19
val_Spatial_Relation_19_rephrased8,Is the laptop angled towards the chair?,val_Spatial_Relation_19
val_Spatial_Relation_19_rephrased9,Is the laptop aimed at the chair?,val_Spatial_Relation_19
val_Spatial_Relation_19_rephrased10,Is the laptop directed in the direction of the chair?,val_Spatial_Relation_19
val_Spatial_Relation_19_rephrased11,Is the laptop situated towards the chair?,val_Spatial_Relation_19
val_Spatial_Relation_19_rephrased12,Is the laptop positioned towards the chair?,val_Spatial_Relation_19
val_Spatial_Relation_19_rephrased13,Is the laptop looking at the chair?,val_Spatial_Relation_19
val_Spatial_Relation_19_rephrased14,Is the laptop directed towards the chair's location?,val_Spatial_Relation_19
val_Spatial_Relation_20_rephrased1,Does the laptop come into contact with the teddy bear?,val_Spatial_Relation_20
val_Spatial_Relation_20_rephrased2,Is there any physical contact between the laptop and the teddy bear?,val_Spatial_Relation_20
val_Spatial_Relation_20_rephrased3,Does the laptop have physical contact with the teddy bear?,val_Spatial_Relation_20
val_Spatial_Relation_20_rephrased4,Are the laptop and the teddy bear in direct physical contact?,val_Spatial_Relation_20
val_Spatial_Relation_20_rephrased5,Is the laptop in contact with the teddy bear?,val_Spatial_Relation_20
val_Spatial_Relation_20_rephrased6,Does the teddy bear make physical contact with the laptop?,val_Spatial_Relation_20
val_Spatial_Relation_20_rephrased7,Is there any direct contact between the laptop and the teddy bear?,val_Spatial_Relation_20
val_Spatial_Relation_20_rephrased8,Are the laptop and the teddy bear touching each other?,val_Spatial_Relation_20
val_Spatial_Relation_20_rephrased9,Does the laptop have a physical connection with the teddy bear?,val_Spatial_Relation_20
val_Spatial_Relation_20_rephrased10,Is the laptop in physical contact with the teddy bear?,val_Spatial_Relation_20
val_Spatial_Relation_20_rephrased11,Does the laptop and the teddy bear share a common surface?,val_Spatial_Relation_20
val_Spatial_Relation_20_rephrased12,Is the laptop in direct contact with the teddy bear?,val_Spatial_Relation_20
val_Spatial_Relation_20_rephrased13,Does the teddy bear and the laptop have physical contact?,val_Spatial_Relation_20
val_Spatial_Relation_20_rephrased14,Is there a physical connection between the laptop and the teddy bear?,val_Spatial_Relation_20
val_Spatial_Relation_21_rephrased1,Is the cat positioned above the dining table?,val_Spatial_Relation_21
val_Spatial_Relation_21_rephrased2,Is the dining table directly below the cat?,val_Spatial_Relation_21
val_Spatial_Relation_21_rephrased3,Is the cat directly above the dining table?,val_Spatial_Relation_21
val_Spatial_Relation_21_rephrased4,Does the cat have the dining table underneath it?,val_Spatial_Relation_21
val_Spatial_Relation_21_rephrased5,Is the dining table situated below the cat?,val_Spatial_Relation_21
val_Spatial_Relation_21_rephrased6,Is the cat positioned above the dining table in a vertical sense?,val_Spatial_Relation_21
val_Spatial_Relation_21_rephrased7,Does the dining table lie underneath the cat?,val_Spatial_Relation_21
val_Spatial_Relation_21_rephrased8,Is the cat above the dining table in a spatial sense?,val_Spatial_Relation_21
val_Spatial_Relation_21_rephrased9,Does the dining table occupy a position below the cat?,val_Spatial_Relation_21
