idx,orig_idx,question,transformation_type,intensity
val_Spatial_Reasoning_112_rotate1,val_Spatial_Reasoning_112,The train contains the chair.,rotate,4
val_Spatial_Reasoning_112_rotate2,val_Spatial_Reasoning_112,The train contains the chair.,rotate,8
val_Spatial_Reasoning_112_shift1,val_Spatial_Reasoning_112,The train contains the chair.,shift,4
val_Spatial_Reasoning_112_shift2,val_Spatial_Reasoning_112,The train contains the chair.,shift,8
val_Spatial_Reasoning_112_bw1,val_Spatial_Reasoning_112,The train contains the chair.,bw,NA
val_Spatial_Reasoning_112_bw2,val_Spatial_Reasoning_112,The train contains the chair.,bw,NA
val_Spatial_Reasoning_113_contrast1,val_Spatial_Reasoning_113,The zebra is behind the horse.,contrast,8
val_Spatial_Reasoning_113_contrast2,val_Spatial_Reasoning_113,The zebra is behind the horse.,contrast,7
val_Spatial_Reasoning_113_blur1,val_Spatial_Reasoning_113,The zebra is behind the horse.,blur,8
val_Spatial_Reasoning_113_blur2,val_Spatial_Reasoning_113,The zebra is behind the horse.,blur,7
val_Spatial_Reasoning_113_noise1,val_Spatial_Reasoning_113,The zebra is behind the horse.,noise,5
val_Spatial_Reasoning_113_noise2,val_Spatial_Reasoning_113,The zebra is behind the horse.,noise,9
val_Spatial_Reasoning_113_masking1,val_Spatial_Reasoning_113,The zebra is behind the horse.,masking,5
val_Spatial_Reasoning_113_masking2,val_Spatial_Reasoning_113,The zebra is behind the horse.,masking,9
val_Spatial_Reasoning_113_rotate1,val_Spatial_Reasoning_113,The zebra is behind the horse.,rotate,8
val_Spatial_Reasoning_113_rotate2,val_Spatial_Reasoning_113,The zebra is behind the horse.,rotate,7
val_Spatial_Reasoning_113_shift1,val_Spatial_Reasoning_113,The zebra is behind the horse.,shift,8
val_Spatial_Reasoning_113_shift2,val_Spatial_Reasoning_113,The zebra is behind the horse.,shift,7
val_Spatial_Reasoning_113_bw1,val_Spatial_Reasoning_113,The zebra is behind the horse.,bw,NA
val_Spatial_Reasoning_113_bw2,val_Spatial_Reasoning_113,The zebra is behind the horse.,bw,NA
val_Spatial_Reasoning_114_contrast1,val_Spatial_Reasoning_114,The laptop is touching the bench.,contrast,6
val_Spatial_Reasoning_114_contrast2,val_Spatial_Reasoning_114,The laptop is touching the bench.,contrast,3
val_Spatial_Reasoning_114_blur1,val_Spatial_Reasoning_114,The laptop is touching the bench.,blur,6
val_Spatial_Reasoning_114_blur2,val_Spatial_Reasoning_114,The laptop is touching the bench.,blur,3
val_Spatial_Reasoning_114_noise1,val_Spatial_Reasoning_114,The laptop is touching the bench.,noise,5
val_Spatial_Reasoning_114_noise2,val_Spatial_Reasoning_114,The laptop is touching the bench.,noise,10
val_Spatial_Reasoning_114_masking1,val_Spatial_Reasoning_114,The laptop is touching the bench.,masking,5
val_Spatial_Reasoning_114_masking2,val_Spatial_Reasoning_114,The laptop is touching the bench.,masking,10
val_Spatial_Reasoning_114_rotate1,val_Spatial_Reasoning_114,The laptop is touching the bench.,rotate,6
val_Spatial_Reasoning_114_rotate2,val_Spatial_Reasoning_114,The laptop is touching the bench.,rotate,3
val_Spatial_Reasoning_114_shift1,val_Spatial_Reasoning_114,The laptop is touching the bench.,shift,6
val_Spatial_Reasoning_114_shift2,val_Spatial_Reasoning_114,The laptop is touching the bench.,shift,3
val_Spatial_Reasoning_114_bw1,val_Spatial_Reasoning_114,The laptop is touching the bench.,bw,NA
val_Spatial_Reasoning_114_bw2,val_Spatial_Reasoning_114,The laptop is touching the bench.,bw,NA
val_Spatial_Reasoning_115_contrast1,val_Spatial_Reasoning_115,The dog is above the laptop.,contrast,4
val_Spatial_Reasoning_115_contrast2,val_Spatial_Reasoning_115,The dog is above the laptop.,contrast,8
val_Spatial_Reasoning_115_blur1,val_Spatial_Reasoning_115,The dog is above the laptop.,blur,4
val_Spatial_Reasoning_115_blur2,val_Spatial_Reasoning_115,The dog is above the laptop.,blur,8
val_Spatial_Reasoning_115_noise1,val_Spatial_Reasoning_115,The dog is above the laptop.,noise,9
val_Spatial_Reasoning_115_noise2,val_Spatial_Reasoning_115,The dog is above the laptop.,noise,10
val_Spatial_Reasoning_115_masking1,val_Spatial_Reasoning_115,The dog is above the laptop.,masking,9
val_Spatial_Reasoning_115_masking2,val_Spatial_Reasoning_115,The dog is above the laptop.,masking,10
val_Spatial_Reasoning_115_rotate1,val_Spatial_Reasoning_115,The dog is above the laptop.,rotate,4
val_Spatial_Reasoning_115_rotate2,val_Spatial_Reasoning_115,The dog is above the laptop.,rotate,8
val_Spatial_Reasoning_115_shift1,val_Spatial_Reasoning_115,The dog is above the laptop.,shift,4
val_Spatial_Reasoning_115_shift2,val_Spatial_Reasoning_115,The dog is above the laptop.,shift,8
val_Spatial_Reasoning_115_bw1,val_Spatial_Reasoning_115,The dog is above the laptop.,bw,NA
val_Spatial_Reasoning_115_bw2,val_Spatial_Reasoning_115,The dog is above the laptop.,bw,NA
val_Spatial_Reasoning_116_contrast1,val_Spatial_Reasoning_116,The bench is below the dog.,contrast,3
val_Spatial_Reasoning_116_contrast2,val_Spatial_Reasoning_116,The bench is below the dog.,contrast,7
val_Spatial_Reasoning_116_blur1,val_Spatial_Reasoning_116,The bench is below the dog.,blur,3
val_Spatial_Reasoning_116_blur2,val_Spatial_Reasoning_116,The bench is below the dog.,blur,7
val_Spatial_Reasoning_116_noise1,val_Spatial_Reasoning_116,The bench is below the dog.,noise,6
val_Spatial_Reasoning_116_noise2,val_Spatial_Reasoning_116,The bench is below the dog.,noise,9
val_Spatial_Reasoning_116_masking1,val_Spatial_Reasoning_116,The bench is below the dog.,masking,6
val_Spatial_Reasoning_116_masking2,val_Spatial_Reasoning_116,The bench is below the dog.,masking,9
val_Spatial_Reasoning_116_rotate1,val_Spatial_Reasoning_116,The bench is below the dog.,rotate,3
val_Spatial_Reasoning_116_rotate2,val_Spatial_Reasoning_116,The bench is below the dog.,rotate,7
val_Spatial_Reasoning_116_shift1,val_Spatial_Reasoning_116,The bench is below the dog.,shift,3
val_Spatial_Reasoning_116_shift2,val_Spatial_Reasoning_116,The bench is below the dog.,shift,7
val_Spatial_Reasoning_116_bw1,val_Spatial_Reasoning_116,The bench is below the dog.,bw,NA
val_Spatial_Reasoning_116_bw2,val_Spatial_Reasoning_116,The bench is below the dog.,bw,NA
val_Spatial_Reasoning_117_contrast1,val_Spatial_Reasoning_117,The laptop is above the dog.,contrast,6
val_Spatial_Reasoning_117_contrast2,val_Spatial_Reasoning_117,The laptop is above the dog.,contrast,4
val_Spatial_Reasoning_117_blur1,val_Spatial_Reasoning_117,The laptop is above the dog.,blur,6
val_Spatial_Reasoning_117_blur2,val_Spatial_Reasoning_117,The laptop is above the dog.,blur,4
val_Spatial_Reasoning_117_noise1,val_Spatial_Reasoning_117,The laptop is above the dog.,noise,8
val_Spatial_Reasoning_117_noise2,val_Spatial_Reasoning_117,The laptop is above the dog.,noise,9
val_Spatial_Reasoning_117_masking1,val_Spatial_Reasoning_117,The laptop is above the dog.,masking,8
val_Spatial_Reasoning_117_masking2,val_Spatial_Reasoning_117,The laptop is above the dog.,masking,9
val_Spatial_Reasoning_117_rotate1,val_Spatial_Reasoning_117,The laptop is above the dog.,rotate,6
val_Spatial_Reasoning_117_rotate2,val_Spatial_Reasoning_117,The laptop is above the dog.,rotate,4
val_Spatial_Reasoning_117_shift1,val_Spatial_Reasoning_117,The laptop is above the dog.,shift,6
val_Spatial_Reasoning_117_shift2,val_Spatial_Reasoning_117,The laptop is above the dog.,shift,4
val_Spatial_Reasoning_117_bw1,val_Spatial_Reasoning_117,The laptop is above the dog.,bw,NA
val_Spatial_Reasoning_117_bw2,val_Spatial_Reasoning_117,The laptop is above the dog.,bw,NA
val_Spatial_Reasoning_118_contrast1,val_Spatial_Reasoning_118,The chair is beneath the horse.,contrast,5
val_Spatial_Reasoning_118_contrast2,val_Spatial_Reasoning_118,The chair is beneath the horse.,contrast,3
val_Spatial_Reasoning_118_blur1,val_Spatial_Reasoning_118,The chair is beneath the horse.,blur,5
val_Spatial_Reasoning_118_blur2,val_Spatial_Reasoning_118,The chair is beneath the horse.,blur,3
val_Spatial_Reasoning_118_noise1,val_Spatial_Reasoning_118,The chair is beneath the horse.,noise,6
val_Spatial_Reasoning_118_noise2,val_Spatial_Reasoning_118,The chair is beneath the horse.,noise,8
val_Spatial_Reasoning_118_masking1,val_Spatial_Reasoning_118,The chair is beneath the horse.,masking,6
val_Spatial_Reasoning_118_masking2,val_Spatial_Reasoning_118,The chair is beneath the horse.,masking,8
val_Spatial_Reasoning_118_rotate1,val_Spatial_Reasoning_118,The chair is beneath the horse.,rotate,5
val_Spatial_Reasoning_118_rotate2,val_Spatial_Reasoning_118,The chair is beneath the horse.,rotate,3
val_Spatial_Reasoning_118_shift1,val_Spatial_Reasoning_118,The chair is beneath the horse.,shift,5
val_Spatial_Reasoning_118_shift2,val_Spatial_Reasoning_118,The chair is beneath the horse.,shift,3
val_Spatial_Reasoning_118_bw1,val_Spatial_Reasoning_118,The chair is beneath the horse.,bw,NA
val_Spatial_Reasoning_118_bw2,val_Spatial_Reasoning_118,The chair is beneath the horse.,bw,NA
val_Spatial_Reasoning_119_contrast1,val_Spatial_Reasoning_119,The chair is facing the laptop.,contrast,5
val_Spatial_Reasoning_119_contrast2,val_Spatial_Reasoning_119,The chair is facing the laptop.,contrast,8
val_Spatial_Reasoning_119_blur1,val_Spatial_Reasoning_119,The chair is facing the laptop.,blur,5
val_Spatial_Reasoning_119_blur2,val_Spatial_Reasoning_119,The chair is facing the laptop.,blur,8
val_Spatial_Reasoning_119_noise1,val_Spatial_Reasoning_119,The chair is facing the laptop.,noise,6
val_Spatial_Reasoning_119_noise2,val_Spatial_Reasoning_119,The chair is facing the laptop.,noise,10
val_Spatial_Reasoning_119_masking1,val_Spatial_Reasoning_119,The chair is facing the laptop.,masking,6
val_Spatial_Reasoning_119_masking2,val_Spatial_Reasoning_119,The chair is facing the laptop.,masking,10
val_Spatial_Reasoning_119_rotate1,val_Spatial_Reasoning_119,The chair is facing the laptop.,rotate,5
val_Spatial_Reasoning_119_rotate2,val_Spatial_Reasoning_119,The chair is facing the laptop.,rotate,8
val_Spatial_Reasoning_119_shift1,val_Spatial_Reasoning_119,The chair is facing the laptop.,shift,5
val_Spatial_Reasoning_119_shift2,val_Spatial_Reasoning_119,The chair is facing the laptop.,shift,8
val_Spatial_Reasoning_119_bw1,val_Spatial_Reasoning_119,The chair is facing the laptop.,bw,NA
val_Spatial_Reasoning_119_bw2,val_Spatial_Reasoning_119,The chair is facing the laptop.,bw,NA
val_Spatial_Reasoning_120_contrast1,val_Spatial_Reasoning_120,The dog is facing the horse.,contrast,5
val_Spatial_Reasoning_120_contrast2,val_Spatial_Reasoning_120,The dog is facing the horse.,contrast,3
val_Spatial_Reasoning_120_blur1,val_Spatial_Reasoning_120,The dog is facing the horse.,blur,5
val_Spatial_Reasoning_120_blur2,val_Spatial_Reasoning_120,The dog is facing the horse.,blur,3
val_Spatial_Reasoning_120_noise1,val_Spatial_Reasoning_120,The dog is facing the horse.,noise,5
val_Spatial_Reasoning_120_noise2,val_Spatial_Reasoning_120,The dog is facing the horse.,noise,8
val_Spatial_Reasoning_120_masking1,val_Spatial_Reasoning_120,The dog is facing the horse.,masking,5
val_Spatial_Reasoning_120_masking2,val_Spatial_Reasoning_120,The dog is facing the horse.,masking,8
val_Spatial_Reasoning_120_rotate1,val_Spatial_Reasoning_120,The dog is facing the horse.,rotate,5
val_Spatial_Reasoning_120_rotate2,val_Spatial_Reasoning_120,The dog is facing the horse.,rotate,3
val_Spatial_Reasoning_120_shift1,val_Spatial_Reasoning_120,The dog is facing the horse.,shift,5
val_Spatial_Reasoning_120_shift2,val_Spatial_Reasoning_120,The dog is facing the horse.,shift,3
val_Spatial_Reasoning_120_bw1,val_Spatial_Reasoning_120,The dog is facing the horse.,bw,NA
val_Spatial_Reasoning_120_bw2,val_Spatial_Reasoning_120,The dog is facing the horse.,bw,NA
val_Spatial_Reasoning_121_contrast1,val_Spatial_Reasoning_121,The zebra is touching the horse.,contrast,3
val_Spatial_Reasoning_121_contrast2,val_Spatial_Reasoning_121,The zebra is touching the horse.,contrast,5
val_Spatial_Reasoning_121_blur1,val_Spatial_Reasoning_121,The zebra is touching the horse.,blur,3
val_Spatial_Reasoning_121_blur2,val_Spatial_Reasoning_121,The zebra is touching the horse.,blur,5
val_Spatial_Reasoning_121_noise1,val_Spatial_Reasoning_121,The zebra is touching the horse.,noise,7
val_Spatial_Reasoning_121_noise2,val_Spatial_Reasoning_121,The zebra is touching the horse.,noise,9
val_Spatial_Reasoning_121_masking1,val_Spatial_Reasoning_121,The zebra is touching the horse.,masking,7
val_Spatial_Reasoning_121_masking2,val_Spatial_Reasoning_121,The zebra is touching the horse.,masking,9
val_Spatial_Reasoning_121_rotate1,val_Spatial_Reasoning_121,The zebra is touching the horse.,rotate,3
val_Spatial_Reasoning_121_rotate2,val_Spatial_Reasoning_121,The zebra is touching the horse.,rotate,5
val_Spatial_Reasoning_121_shift1,val_Spatial_Reasoning_121,The zebra is touching the horse.,shift,3
val_Spatial_Reasoning_121_shift2,val_Spatial_Reasoning_121,The zebra is touching the horse.,shift,5
val_Spatial_Reasoning_121_bw1,val_Spatial_Reasoning_121,The zebra is touching the horse.,bw,NA
val_Spatial_Reasoning_121_bw2,val_Spatial_Reasoning_121,The zebra is touching the horse.,bw,NA
val_Spatial_Reasoning_122_contrast1,val_Spatial_Reasoning_122,The laptop is facing the chair.,contrast,5
val_Spatial_Reasoning_122_contrast2,val_Spatial_Reasoning_122,The laptop is facing the chair.,contrast,3
val_Spatial_Reasoning_122_blur1,val_Spatial_Reasoning_122,The laptop is facing the chair.,blur,5
val_Spatial_Reasoning_122_blur2,val_Spatial_Reasoning_122,The laptop is facing the chair.,blur,3
val_Spatial_Reasoning_122_noise1,val_Spatial_Reasoning_122,The laptop is facing the chair.,noise,10
val_Spatial_Reasoning_122_noise2,val_Spatial_Reasoning_122,The laptop is facing the chair.,noise,8
val_Spatial_Reasoning_122_masking1,val_Spatial_Reasoning_122,The laptop is facing the chair.,masking,10
val_Spatial_Reasoning_122_masking2,val_Spatial_Reasoning_122,The laptop is facing the chair.,masking,8
val_Spatial_Reasoning_122_rotate1,val_Spatial_Reasoning_122,The laptop is facing the chair.,rotate,5
val_Spatial_Reasoning_122_rotate2,val_Spatial_Reasoning_122,The laptop is facing the chair.,rotate,3
val_Spatial_Reasoning_122_shift1,val_Spatial_Reasoning_122,The laptop is facing the chair.,shift,5
val_Spatial_Reasoning_122_shift2,val_Spatial_Reasoning_122,The laptop is facing the chair.,shift,3
val_Spatial_Reasoning_122_bw1,val_Spatial_Reasoning_122,The laptop is facing the chair.,bw,NA
val_Spatial_Reasoning_122_bw2,val_Spatial_Reasoning_122,The laptop is facing the chair.,bw,NA
val_Spatial_Reasoning_123_contrast1,val_Spatial_Reasoning_123,The laptop is facing away from the chair.,contrast,7
val_Spatial_Reasoning_123_contrast2,val_Spatial_Reasoning_123,The laptop is facing away from the chair.,contrast,3
val_Spatial_Reasoning_123_blur1,val_Spatial_Reasoning_123,The laptop is facing away from the chair.,blur,7
val_Spatial_Reasoning_123_blur2,val_Spatial_Reasoning_123,The laptop is facing away from the chair.,blur,3
val_Spatial_Reasoning_123_noise1,val_Spatial_Reasoning_123,The laptop is facing away from the chair.,noise,8
val_Spatial_Reasoning_123_noise2,val_Spatial_Reasoning_123,The laptop is facing away from the chair.,noise,5
val_Spatial_Reasoning_123_masking1,val_Spatial_Reasoning_123,The laptop is facing away from the chair.,masking,8
val_Spatial_Reasoning_123_masking2,val_Spatial_Reasoning_123,The laptop is facing away from the chair.,masking,5
val_Spatial_Reasoning_123_rotate1,val_Spatial_Reasoning_123,The laptop is facing away from the chair.,rotate,7
val_Spatial_Reasoning_123_rotate2,val_Spatial_Reasoning_123,The laptop is facing away from the chair.,rotate,3
val_Spatial_Reasoning_123_shift1,val_Spatial_Reasoning_123,The laptop is facing away from the chair.,shift,7
val_Spatial_Reasoning_123_shift2,val_Spatial_Reasoning_123,The laptop is facing away from the chair.,shift,3
val_Spatial_Reasoning_123_bw1,val_Spatial_Reasoning_123,The laptop is facing away from the chair.,bw,NA
val_Spatial_Reasoning_123_bw2,val_Spatial_Reasoning_123,The laptop is facing away from the chair.,bw,NA
val_Spatial_Reasoning_124_contrast1,val_Spatial_Reasoning_124,The dog is below the bench.,contrast,7
val_Spatial_Reasoning_124_contrast2,val_Spatial_Reasoning_124,The dog is below the bench.,contrast,5
val_Spatial_Reasoning_124_blur1,val_Spatial_Reasoning_124,The dog is below the bench.,blur,7
val_Spatial_Reasoning_124_blur2,val_Spatial_Reasoning_124,The dog is below the bench.,blur,5
val_Spatial_Reasoning_124_noise1,val_Spatial_Reasoning_124,The dog is below the bench.,noise,10
val_Spatial_Reasoning_124_noise2,val_Spatial_Reasoning_124,The dog is below the bench.,noise,9
val_Spatial_Reasoning_124_masking1,val_Spatial_Reasoning_124,The dog is below the bench.,masking,10
val_Spatial_Reasoning_124_masking2,val_Spatial_Reasoning_124,The dog is below the bench.,masking,9
val_Spatial_Reasoning_124_rotate1,val_Spatial_Reasoning_124,The dog is below the bench.,rotate,7
val_Spatial_Reasoning_124_rotate2,val_Spatial_Reasoning_124,The dog is below the bench.,rotate,5
val_Spatial_Reasoning_124_shift1,val_Spatial_Reasoning_124,The dog is below the bench.,shift,7
val_Spatial_Reasoning_124_shift2,val_Spatial_Reasoning_124,The dog is below the bench.,shift,5
val_Spatial_Reasoning_124_bw1,val_Spatial_Reasoning_124,The dog is below the bench.,bw,NA
val_Spatial_Reasoning_124_bw2,val_Spatial_Reasoning_124,The dog is below the bench.,bw,NA
val_Spatial_Reasoning_125_contrast1,val_Spatial_Reasoning_125,The chair is under the horse.,contrast,5
val_Spatial_Reasoning_125_contrast2,val_Spatial_Reasoning_125,The chair is under the horse.,contrast,7
val_Spatial_Reasoning_125_blur1,val_Spatial_Reasoning_125,The chair is under the horse.,blur,5
val_Spatial_Reasoning_125_blur2,val_Spatial_Reasoning_125,The chair is under the horse.,blur,7
val_Spatial_Reasoning_125_noise1,val_Spatial_Reasoning_125,The chair is under the horse.,noise,6
val_Spatial_Reasoning_125_noise2,val_Spatial_Reasoning_125,The chair is under the horse.,noise,5
val_Spatial_Reasoning_125_masking1,val_Spatial_Reasoning_125,The chair is under the horse.,masking,6
val_Spatial_Reasoning_125_masking2,val_Spatial_Reasoning_125,The chair is under the horse.,masking,5
val_Spatial_Reasoning_125_rotate1,val_Spatial_Reasoning_125,The chair is under the horse.,rotate,5
val_Spatial_Reasoning_125_rotate2,val_Spatial_Reasoning_125,The chair is under the horse.,rotate,7
val_Spatial_Reasoning_125_shift1,val_Spatial_Reasoning_125,The chair is under the horse.,shift,5
val_Spatial_Reasoning_125_shift2,val_Spatial_Reasoning_125,The chair is under the horse.,shift,7
val_Spatial_Reasoning_125_bw1,val_Spatial_Reasoning_125,The chair is under the horse.,bw,NA
val_Spatial_Reasoning_125_bw2,val_Spatial_Reasoning_125,The chair is under the horse.,bw,NA
val_Spatial_Reasoning_126_contrast1,val_Spatial_Reasoning_126,The dog is on top of the bench.,contrast,3
val_Spatial_Reasoning_126_contrast2,val_Spatial_Reasoning_126,The dog is on top of the bench.,contrast,4
val_Spatial_Reasoning_126_blur1,val_Spatial_Reasoning_126,The dog is on top of the bench.,blur,3
val_Spatial_Reasoning_126_blur2,val_Spatial_Reasoning_126,The dog is on top of the bench.,blur,4
val_Spatial_Reasoning_126_noise1,val_Spatial_Reasoning_126,The dog is on top of the bench.,noise,7
val_Spatial_Reasoning_126_noise2,val_Spatial_Reasoning_126,The dog is on top of the bench.,noise,5
val_Spatial_Reasoning_126_masking1,val_Spatial_Reasoning_126,The dog is on top of the bench.,masking,7
val_Spatial_Reasoning_126_masking2,val_Spatial_Reasoning_126,The dog is on top of the bench.,masking,5
val_Spatial_Reasoning_126_rotate1,val_Spatial_Reasoning_126,The dog is on top of the bench.,rotate,3
val_Spatial_Reasoning_126_rotate2,val_Spatial_Reasoning_126,The dog is on top of the bench.,rotate,4
val_Spatial_Reasoning_126_shift1,val_Spatial_Reasoning_126,The dog is on top of the bench.,shift,3
val_Spatial_Reasoning_126_shift2,val_Spatial_Reasoning_126,The dog is on top of the bench.,shift,4
val_Spatial_Reasoning_126_bw1,val_Spatial_Reasoning_126,The dog is on top of the bench.,bw,NA
val_Spatial_Reasoning_126_bw2,val_Spatial_Reasoning_126,The dog is on top of the bench.,bw,NA
val_Spatial_Reasoning_127_contrast1,val_Spatial_Reasoning_127,The bench is behind the laptop.,contrast,4
val_Spatial_Reasoning_127_contrast2,val_Spatial_Reasoning_127,The bench is behind the laptop.,contrast,3
val_Spatial_Reasoning_127_blur1,val_Spatial_Reasoning_127,The bench is behind the laptop.,blur,4
val_Spatial_Reasoning_127_blur2,val_Spatial_Reasoning_127,The bench is behind the laptop.,blur,3
val_Spatial_Reasoning_127_noise1,val_Spatial_Reasoning_127,The bench is behind the laptop.,noise,8
val_Spatial_Reasoning_127_noise2,val_Spatial_Reasoning_127,The bench is behind the laptop.,noise,7
val_Spatial_Reasoning_127_masking1,val_Spatial_Reasoning_127,The bench is behind the laptop.,masking,8
val_Spatial_Reasoning_127_masking2,val_Spatial_Reasoning_127,The bench is behind the laptop.,masking,7
val_Spatial_Reasoning_127_rotate1,val_Spatial_Reasoning_127,The bench is behind the laptop.,rotate,4
val_Spatial_Reasoning_127_rotate2,val_Spatial_Reasoning_127,The bench is behind the laptop.,rotate,3
val_Spatial_Reasoning_127_shift1,val_Spatial_Reasoning_127,The bench is behind the laptop.,shift,4
val_Spatial_Reasoning_127_shift2,val_Spatial_Reasoning_127,The bench is behind the laptop.,shift,3
val_Spatial_Reasoning_127_bw1,val_Spatial_Reasoning_127,The bench is behind the laptop.,bw,NA
val_Spatial_Reasoning_127_bw2,val_Spatial_Reasoning_127,The bench is behind the laptop.,bw,NA
val_Spatial_Reasoning_128_contrast1,val_Spatial_Reasoning_128,The laptop is above the chair.,contrast,6
val_Spatial_Reasoning_128_contrast2,val_Spatial_Reasoning_128,The laptop is above the chair.,contrast,5
val_Spatial_Reasoning_128_blur1,val_Spatial_Reasoning_128,The laptop is above the chair.,blur,6
val_Spatial_Reasoning_128_blur2,val_Spatial_Reasoning_128,The laptop is above the chair.,blur,5
val_Spatial_Reasoning_128_noise1,val_Spatial_Reasoning_128,The laptop is above the chair.,noise,6
val_Spatial_Reasoning_128_noise2,val_Spatial_Reasoning_128,The laptop is above the chair.,noise,7
val_Spatial_Reasoning_128_masking1,val_Spatial_Reasoning_128,The laptop is above the chair.,masking,6
val_Spatial_Reasoning_128_masking2,val_Spatial_Reasoning_128,The laptop is above the chair.,masking,7
val_Spatial_Reasoning_128_rotate1,val_Spatial_Reasoning_128,The laptop is above the chair.,rotate,6
val_Spatial_Reasoning_128_rotate2,val_Spatial_Reasoning_128,The laptop is above the chair.,rotate,5
val_Spatial_Reasoning_128_shift1,val_Spatial_Reasoning_128,The laptop is above the chair.,shift,6
val_Spatial_Reasoning_128_shift2,val_Spatial_Reasoning_128,The laptop is above the chair.,shift,5
val_Spatial_Reasoning_128_bw1,val_Spatial_Reasoning_128,The laptop is above the chair.,bw,NA
val_Spatial_Reasoning_128_bw2,val_Spatial_Reasoning_128,The laptop is above the chair.,bw,NA
val_Spatial_Reasoning_129_contrast1,val_Spatial_Reasoning_129,The laptop is on the bench.,contrast,5
val_Spatial_Reasoning_129_contrast2,val_Spatial_Reasoning_129,The laptop is on the bench.,contrast,4
val_Spatial_Reasoning_129_blur1,val_Spatial_Reasoning_129,The laptop is on the bench.,blur,5
val_Spatial_Reasoning_129_blur2,val_Spatial_Reasoning_129,The laptop is on the bench.,blur,4
val_Spatial_Reasoning_129_noise1,val_Spatial_Reasoning_129,The laptop is on the bench.,noise,10
val_Spatial_Reasoning_129_noise2,val_Spatial_Reasoning_129,The laptop is on the bench.,noise,7
val_Spatial_Reasoning_129_masking1,val_Spatial_Reasoning_129,The laptop is on the bench.,masking,10
val_Spatial_Reasoning_129_masking2,val_Spatial_Reasoning_129,The laptop is on the bench.,masking,7
val_Spatial_Reasoning_129_rotate1,val_Spatial_Reasoning_129,The laptop is on the bench.,rotate,5
val_Spatial_Reasoning_129_rotate2,val_Spatial_Reasoning_129,The laptop is on the bench.,rotate,4
val_Spatial_Reasoning_129_shift1,val_Spatial_Reasoning_129,The laptop is on the bench.,shift,5
val_Spatial_Reasoning_129_shift2,val_Spatial_Reasoning_129,The laptop is on the bench.,shift,4
val_Spatial_Reasoning_129_bw1,val_Spatial_Reasoning_129,The laptop is on the bench.,bw,NA
val_Spatial_Reasoning_129_bw2,val_Spatial_Reasoning_129,The laptop is on the bench.,bw,NA
val_Spatial_Reasoning_130_contrast1,val_Spatial_Reasoning_130,The dog is at the right side of the horse.,contrast,8
val_Spatial_Reasoning_130_contrast2,val_Spatial_Reasoning_130,The dog is at the right side of the horse.,contrast,3
val_Spatial_Reasoning_130_blur1,val_Spatial_Reasoning_130,The dog is at the right side of the horse.,blur,8
val_Spatial_Reasoning_130_blur2,val_Spatial_Reasoning_130,The dog is at the right side of the horse.,blur,3
val_Spatial_Reasoning_130_noise1,val_Spatial_Reasoning_130,The dog is at the right side of the horse.,noise,9
val_Spatial_Reasoning_130_noise2,val_Spatial_Reasoning_130,The dog is at the right side of the horse.,noise,6
