idx,orig_idx,question,transformation_type,intensity
val_Spatial_Relation_7_noise1,val_Spatial_Relation_7,Is the person next to the banana?,noise,8
val_Spatial_Relation_7_noise2,val_Spatial_Relation_7,Is the person next to the banana?,noise,9
val_Spatial_Relation_7_masking1,val_Spatial_Relation_7,Is the person next to the banana?,masking,8
val_Spatial_Relation_7_masking2,val_Spatial_Relation_7,Is the person next to the banana?,masking,9
val_Spatial_Relation_7_rotate1,val_Spatial_Relation_7,Is the person next to the banana?,rotate,6
val_Spatial_Relation_7_rotate2,val_Spatial_Relation_7,Is the person next to the banana?,rotate,4
val_Spatial_Relation_7_shift1,val_Spatial_Relation_7,Is the person next to the banana?,shift,6
val_Spatial_Relation_7_shift2,val_Spatial_Relation_7,Is the person next to the banana?,shift,4
val_Spatial_Relation_7_bw1,val_Spatial_Relation_7,Is the person next to the banana?,bw,NA
val_Spatial_Relation_7_bw2,val_Spatial_Relation_7,Is the person next to the banana?,bw,NA
val_Spatial_Relation_8_contrast1,val_Spatial_Relation_8,Is the person touching the kite?,contrast,5
val_Spatial_Relation_8_contrast2,val_Spatial_Relation_8,Is the person touching the kite?,contrast,3
val_Spatial_Relation_8_blur1,val_Spatial_Relation_8,Is the person touching the kite?,blur,5
val_Spatial_Relation_8_blur2,val_Spatial_Relation_8,Is the person touching the kite?,blur,3
val_Spatial_Relation_8_noise1,val_Spatial_Relation_8,Is the person touching the kite?,noise,6
val_Spatial_Relation_8_noise2,val_Spatial_Relation_8,Is the person touching the kite?,noise,8
val_Spatial_Relation_8_masking1,val_Spatial_Relation_8,Is the person touching the kite?,masking,6
val_Spatial_Relation_8_masking2,val_Spatial_Relation_8,Is the person touching the kite?,masking,8
val_Spatial_Relation_8_rotate1,val_Spatial_Relation_8,Is the person touching the kite?,rotate,5
val_Spatial_Relation_8_rotate2,val_Spatial_Relation_8,Is the person touching the kite?,rotate,3
val_Spatial_Relation_8_shift1,val_Spatial_Relation_8,Is the person touching the kite?,shift,5
val_Spatial_Relation_8_shift2,val_Spatial_Relation_8,Is the person touching the kite?,shift,3
val_Spatial_Relation_8_bw1,val_Spatial_Relation_8,Is the person touching the kite?,bw,NA
val_Spatial_Relation_8_bw2,val_Spatial_Relation_8,Is the person touching the kite?,bw,NA
val_Spatial_Relation_9_contrast1,val_Spatial_Relation_9,Is the hair drier left of the person?,contrast,5
val_Spatial_Relation_9_contrast2,val_Spatial_Relation_9,Is the hair drier left of the person?,contrast,8
val_Spatial_Relation_9_blur1,val_Spatial_Relation_9,Is the hair drier left of the person?,blur,5
val_Spatial_Relation_9_blur2,val_Spatial_Relation_9,Is the hair drier left of the person?,blur,8
val_Spatial_Relation_9_noise1,val_Spatial_Relation_9,Is the hair drier left of the person?,noise,6
val_Spatial_Relation_9_noise2,val_Spatial_Relation_9,Is the hair drier left of the person?,noise,10
val_Spatial_Relation_9_masking1,val_Spatial_Relation_9,Is the hair drier left of the person?,masking,6
val_Spatial_Relation_9_masking2,val_Spatial_Relation_9,Is the hair drier left of the person?,masking,10
val_Spatial_Relation_9_rotate1,val_Spatial_Relation_9,Is the hair drier left of the person?,rotate,5
val_Spatial_Relation_9_rotate2,val_Spatial_Relation_9,Is the hair drier left of the person?,rotate,8
val_Spatial_Relation_9_shift1,val_Spatial_Relation_9,Is the hair drier left of the person?,shift,5
val_Spatial_Relation_9_shift2,val_Spatial_Relation_9,Is the hair drier left of the person?,shift,8
val_Spatial_Relation_9_bw1,val_Spatial_Relation_9,Is the hair drier left of the person?,bw,NA
val_Spatial_Relation_9_bw2,val_Spatial_Relation_9,Is the hair drier left of the person?,bw,NA
val_Spatial_Relation_10_contrast1,val_Spatial_Relation_10,Is the laptop touching the person?,contrast,5
val_Spatial_Relation_10_contrast2,val_Spatial_Relation_10,Is the laptop touching the person?,contrast,3
val_Spatial_Relation_10_blur1,val_Spatial_Relation_10,Is the laptop touching the person?,blur,5
val_Spatial_Relation_10_blur2,val_Spatial_Relation_10,Is the laptop touching the person?,blur,3
val_Spatial_Relation_10_noise1,val_Spatial_Relation_10,Is the laptop touching the person?,noise,5
val_Spatial_Relation_10_noise2,val_Spatial_Relation_10,Is the laptop touching the person?,noise,8
val_Spatial_Relation_10_masking1,val_Spatial_Relation_10,Is the laptop touching the person?,masking,5
val_Spatial_Relation_10_masking2,val_Spatial_Relation_10,Is the laptop touching the person?,masking,8
val_Spatial_Relation_10_rotate1,val_Spatial_Relation_10,Is the laptop touching the person?,rotate,5
val_Spatial_Relation_10_rotate2,val_Spatial_Relation_10,Is the laptop touching the person?,rotate,3
val_Spatial_Relation_10_shift1,val_Spatial_Relation_10,Is the laptop touching the person?,shift,5
val_Spatial_Relation_10_shift2,val_Spatial_Relation_10,Is the laptop touching the person?,shift,3
val_Spatial_Relation_10_bw1,val_Spatial_Relation_10,Is the laptop touching the person?,bw,NA
val_Spatial_Relation_10_bw2,val_Spatial_Relation_10,Is the laptop touching the person?,bw,NA
val_Spatial_Relation_11_contrast1,val_Spatial_Relation_11,Is the person on top of the elephant?,contrast,3
val_Spatial_Relation_11_contrast2,val_Spatial_Relation_11,Is the person on top of the elephant?,contrast,5
val_Spatial_Relation_11_blur1,val_Spatial_Relation_11,Is the person on top of the elephant?,blur,3
val_Spatial_Relation_11_blur2,val_Spatial_Relation_11,Is the person on top of the elephant?,blur,5
val_Spatial_Relation_11_noise1,val_Spatial_Relation_11,Is the person on top of the elephant?,noise,7
val_Spatial_Relation_11_noise2,val_Spatial_Relation_11,Is the person on top of the elephant?,noise,9
val_Spatial_Relation_11_masking1,val_Spatial_Relation_11,Is the person on top of the elephant?,masking,7
val_Spatial_Relation_11_masking2,val_Spatial_Relation_11,Is the person on top of the elephant?,masking,9
val_Spatial_Relation_11_rotate1,val_Spatial_Relation_11,Is the person on top of the elephant?,rotate,3
val_Spatial_Relation_11_rotate2,val_Spatial_Relation_11,Is the person on top of the elephant?,rotate,5
val_Spatial_Relation_11_shift1,val_Spatial_Relation_11,Is the person on top of the elephant?,shift,3
val_Spatial_Relation_11_shift2,val_Spatial_Relation_11,Is the person on top of the elephant?,shift,5
val_Spatial_Relation_11_bw1,val_Spatial_Relation_11,Is the person on top of the elephant?,bw,NA
val_Spatial_Relation_11_bw2,val_Spatial_Relation_11,Is the person on top of the elephant?,bw,NA
val_Spatial_Relation_12_contrast1,val_Spatial_Relation_12,Does the suitcase contain the cat?,contrast,5
val_Spatial_Relation_12_contrast2,val_Spatial_Relation_12,Does the suitcase contain the cat?,contrast,3
val_Spatial_Relation_12_blur1,val_Spatial_Relation_12,Does the suitcase contain the cat?,blur,5
val_Spatial_Relation_12_blur2,val_Spatial_Relation_12,Does the suitcase contain the cat?,blur,3
val_Spatial_Relation_12_noise1,val_Spatial_Relation_12,Does the suitcase contain the cat?,noise,10
val_Spatial_Relation_12_noise2,val_Spatial_Relation_12,Does the suitcase contain the cat?,noise,8
val_Spatial_Relation_12_masking1,val_Spatial_Relation_12,Does the suitcase contain the cat?,masking,10
val_Spatial_Relation_12_masking2,val_Spatial_Relation_12,Does the suitcase contain the cat?,masking,8
val_Spatial_Relation_12_rotate1,val_Spatial_Relation_12,Does the suitcase contain the cat?,rotate,5
val_Spatial_Relation_12_rotate2,val_Spatial_Relation_12,Does the suitcase contain the cat?,rotate,3
val_Spatial_Relation_12_shift1,val_Spatial_Relation_12,Does the suitcase contain the cat?,shift,5
val_Spatial_Relation_12_shift2,val_Spatial_Relation_12,Does the suitcase contain the cat?,shift,3
val_Spatial_Relation_12_bw1,val_Spatial_Relation_12,Does the suitcase contain the cat?,bw,NA
val_Spatial_Relation_12_bw2,val_Spatial_Relation_12,Does the suitcase contain the cat?,bw,NA
val_Spatial_Relation_13_contrast1,val_Spatial_Relation_13,Is the cat touching the wine glass?,contrast,7
val_Spatial_Relation_13_contrast2,val_Spatial_Relation_13,Is the cat touching the wine glass?,contrast,3
val_Spatial_Relation_13_blur1,val_Spatial_Relation_13,Is the cat touching the wine glass?,blur,7
val_Spatial_Relation_13_blur2,val_Spatial_Relation_13,Is the cat touching the wine glass?,blur,3
val_Spatial_Relation_13_noise1,val_Spatial_Relation_13,Is the cat touching the wine glass?,noise,8
val_Spatial_Relation_13_noise2,val_Spatial_Relation_13,Is the cat touching the wine glass?,noise,5
val_Spatial_Relation_13_masking1,val_Spatial_Relation_13,Is the cat touching the wine glass?,masking,8
val_Spatial_Relation_13_masking2,val_Spatial_Relation_13,Is the cat touching the wine glass?,masking,5
val_Spatial_Relation_13_rotate1,val_Spatial_Relation_13,Is the cat touching the wine glass?,rotate,7
val_Spatial_Relation_13_rotate2,val_Spatial_Relation_13,Is the cat touching the wine glass?,rotate,3
val_Spatial_Relation_13_shift1,val_Spatial_Relation_13,Is the cat touching the wine glass?,shift,7
val_Spatial_Relation_13_shift2,val_Spatial_Relation_13,Is the cat touching the wine glass?,shift,3
val_Spatial_Relation_13_bw1,val_Spatial_Relation_13,Is the cat touching the wine glass?,bw,NA
val_Spatial_Relation_13_bw2,val_Spatial_Relation_13,Is the cat touching the wine glass?,bw,NA
val_Spatial_Relation_14_contrast1,val_Spatial_Relation_14,Is the person touching the donut?,contrast,7
val_Spatial_Relation_14_contrast2,val_Spatial_Relation_14,Is the person touching the donut?,contrast,5
val_Spatial_Relation_14_blur1,val_Spatial_Relation_14,Is the person touching the donut?,blur,7
val_Spatial_Relation_14_blur2,val_Spatial_Relation_14,Is the person touching the donut?,blur,5
val_Spatial_Relation_14_noise1,val_Spatial_Relation_14,Is the person touching the donut?,noise,10
val_Spatial_Relation_14_noise2,val_Spatial_Relation_14,Is the person touching the donut?,noise,9
val_Spatial_Relation_14_masking1,val_Spatial_Relation_14,Is the person touching the donut?,masking,10
val_Spatial_Relation_14_masking2,val_Spatial_Relation_14,Is the person touching the donut?,masking,9
val_Spatial_Relation_14_rotate1,val_Spatial_Relation_14,Is the person touching the donut?,rotate,7
val_Spatial_Relation_14_rotate2,val_Spatial_Relation_14,Is the person touching the donut?,rotate,5
val_Spatial_Relation_14_shift1,val_Spatial_Relation_14,Is the person touching the donut?,shift,7
val_Spatial_Relation_14_shift2,val_Spatial_Relation_14,Is the person touching the donut?,shift,5
val_Spatial_Relation_14_bw1,val_Spatial_Relation_14,Is the person touching the donut?,bw,NA
val_Spatial_Relation_14_bw2,val_Spatial_Relation_14,Is the person touching the donut?,bw,NA
val_Spatial_Relation_15_contrast1,val_Spatial_Relation_15,Is the vase behind the cat?,contrast,5
val_Spatial_Relation_15_contrast2,val_Spatial_Relation_15,Is the vase behind the cat?,contrast,7
val_Spatial_Relation_15_blur1,val_Spatial_Relation_15,Is the vase behind the cat?,blur,5
val_Spatial_Relation_15_blur2,val_Spatial_Relation_15,Is the vase behind the cat?,blur,7
val_Spatial_Relation_15_noise1,val_Spatial_Relation_15,Is the vase behind the cat?,noise,6
val_Spatial_Relation_15_noise2,val_Spatial_Relation_15,Is the vase behind the cat?,noise,5
val_Spatial_Relation_15_masking1,val_Spatial_Relation_15,Is the vase behind the cat?,masking,6
val_Spatial_Relation_15_masking2,val_Spatial_Relation_15,Is the vase behind the cat?,masking,5
val_Spatial_Relation_15_rotate1,val_Spatial_Relation_15,Is the vase behind the cat?,rotate,5
val_Spatial_Relation_15_rotate2,val_Spatial_Relation_15,Is the vase behind the cat?,rotate,7
val_Spatial_Relation_15_shift1,val_Spatial_Relation_15,Is the vase behind the cat?,shift,5
val_Spatial_Relation_15_shift2,val_Spatial_Relation_15,Is the vase behind the cat?,shift,7
val_Spatial_Relation_15_bw1,val_Spatial_Relation_15,Is the vase behind the cat?,bw,NA
val_Spatial_Relation_15_bw2,val_Spatial_Relation_15,Is the vase behind the cat?,bw,NA
val_Spatial_Relation_16_contrast1,val_Spatial_Relation_16,Is the bus parallel to the motorcycle?,contrast,3
val_Spatial_Relation_16_contrast2,val_Spatial_Relation_16,Is the bus parallel to the motorcycle?,contrast,4
val_Spatial_Relation_16_blur1,val_Spatial_Relation_16,Is the bus parallel to the motorcycle?,blur,3
val_Spatial_Relation_16_blur2,val_Spatial_Relation_16,Is the bus parallel to the motorcycle?,blur,4
val_Spatial_Relation_16_noise1,val_Spatial_Relation_16,Is the bus parallel to the motorcycle?,noise,7
val_Spatial_Relation_16_noise2,val_Spatial_Relation_16,Is the bus parallel to the motorcycle?,noise,5
val_Spatial_Relation_16_masking1,val_Spatial_Relation_16,Is the bus parallel to the motorcycle?,masking,7
val_Spatial_Relation_16_masking2,val_Spatial_Relation_16,Is the bus parallel to the motorcycle?,masking,5
val_Spatial_Relation_16_rotate1,val_Spatial_Relation_16,Is the bus parallel to the motorcycle?,rotate,3
val_Spatial_Relation_16_rotate2,val_Spatial_Relation_16,Is the bus parallel to the motorcycle?,rotate,4
val_Spatial_Relation_16_shift1,val_Spatial_Relation_16,Is the bus parallel to the motorcycle?,shift,3
val_Spatial_Relation_16_shift2,val_Spatial_Relation_16,Is the bus parallel to the motorcycle?,shift,4
val_Spatial_Relation_16_bw1,val_Spatial_Relation_16,Is the bus parallel to the motorcycle?,bw,NA
val_Spatial_Relation_16_bw2,val_Spatial_Relation_16,Is the bus parallel to the motorcycle?,bw,NA
val_Spatial_Relation_17_contrast1,val_Spatial_Relation_17,Is the dog on the motorcycle?,contrast,4
val_Spatial_Relation_17_contrast2,val_Spatial_Relation_17,Is the dog on the motorcycle?,contrast,3
val_Spatial_Relation_17_blur1,val_Spatial_Relation_17,Is the dog on the motorcycle?,blur,4
val_Spatial_Relation_17_blur2,val_Spatial_Relation_17,Is the dog on the motorcycle?,blur,3
val_Spatial_Relation_17_noise1,val_Spatial_Relation_17,Is the dog on the motorcycle?,noise,8
val_Spatial_Relation_17_noise2,val_Spatial_Relation_17,Is the dog on the motorcycle?,noise,7
val_Spatial_Relation_17_masking1,val_Spatial_Relation_17,Is the dog on the motorcycle?,masking,8
val_Spatial_Relation_17_masking2,val_Spatial_Relation_17,Is the dog on the motorcycle?,masking,7
val_Spatial_Relation_17_rotate1,val_Spatial_Relation_17,Is the dog on the motorcycle?,rotate,4
val_Spatial_Relation_17_rotate2,val_Spatial_Relation_17,Is the dog on the motorcycle?,rotate,3
val_Spatial_Relation_17_shift1,val_Spatial_Relation_17,Is the dog on the motorcycle?,shift,4
val_Spatial_Relation_17_shift2,val_Spatial_Relation_17,Is the dog on the motorcycle?,shift,3
val_Spatial_Relation_17_bw1,val_Spatial_Relation_17,Is the dog on the motorcycle?,bw,NA
val_Spatial_Relation_17_bw2,val_Spatial_Relation_17,Is the dog on the motorcycle?,bw,NA
val_Spatial_Relation_18_contrast1,val_Spatial_Relation_18,Is the dining table in front of the person?,contrast,6
val_Spatial_Relation_18_contrast2,val_Spatial_Relation_18,Is the dining table in front of the person?,contrast,5
val_Spatial_Relation_18_blur1,val_Spatial_Relation_18,Is the dining table in front of the person?,blur,6
val_Spatial_Relation_18_blur2,val_Spatial_Relation_18,Is the dining table in front of the person?,blur,5
val_Spatial_Relation_18_noise1,val_Spatial_Relation_18,Is the dining table in front of the person?,noise,6
val_Spatial_Relation_18_noise2,val_Spatial_Relation_18,Is the dining table in front of the person?,noise,7
val_Spatial_Relation_18_masking1,val_Spatial_Relation_18,Is the dining table in front of the person?,masking,6
val_Spatial_Relation_18_masking2,val_Spatial_Relation_18,Is the dining table in front of the person?,masking,7
val_Spatial_Relation_18_rotate1,val_Spatial_Relation_18,Is the dining table in front of the person?,rotate,6
val_Spatial_Relation_18_rotate2,val_Spatial_Relation_18,Is the dining table in front of the person?,rotate,5
val_Spatial_Relation_18_shift1,val_Spatial_Relation_18,Is the dining table in front of the person?,shift,6
val_Spatial_Relation_18_shift2,val_Spatial_Relation_18,Is the dining table in front of the person?,shift,5
val_Spatial_Relation_18_bw1,val_Spatial_Relation_18,Is the dining table in front of the person?,bw,NA
val_Spatial_Relation_18_bw2,val_Spatial_Relation_18,Is the dining table in front of the person?,bw,NA
val_Spatial_Relation_19_contrast1,val_Spatial_Relation_19,Is the laptop facing the chair?,contrast,5
val_Spatial_Relation_19_contrast2,val_Spatial_Relation_19,Is the laptop facing the chair?,contrast,4
val_Spatial_Relation_19_blur1,val_Spatial_Relation_19,Is the laptop facing the chair?,blur,5
val_Spatial_Relation_19_blur2,val_Spatial_Relation_19,Is the laptop facing the chair?,blur,4
val_Spatial_Relation_19_noise1,val_Spatial_Relation_19,Is the laptop facing the chair?,noise,10
val_Spatial_Relation_19_noise2,val_Spatial_Relation_19,Is the laptop facing the chair?,noise,7
val_Spatial_Relation_19_masking1,val_Spatial_Relation_19,Is the laptop facing the chair?,masking,10
val_Spatial_Relation_19_masking2,val_Spatial_Relation_19,Is the laptop facing the chair?,masking,7
val_Spatial_Relation_19_rotate1,val_Spatial_Relation_19,Is the laptop facing the chair?,rotate,5
val_Spatial_Relation_19_rotate2,val_Spatial_Relation_19,Is the laptop facing the chair?,rotate,4
val_Spatial_Relation_19_shift1,val_Spatial_Relation_19,Is the laptop facing the chair?,shift,5
val_Spatial_Relation_19_shift2,val_Spatial_Relation_19,Is the laptop facing the chair?,shift,4
val_Spatial_Relation_19_bw1,val_Spatial_Relation_19,Is the laptop facing the chair?,bw,NA
val_Spatial_Relation_19_bw2,val_Spatial_Relation_19,Is the laptop facing the chair?,bw,NA
val_Spatial_Relation_20_contrast1,val_Spatial_Relation_20,Is the laptop touching the teddy bear?,contrast,8
val_Spatial_Relation_20_contrast2,val_Spatial_Relation_20,Is the laptop touching the teddy bear?,contrast,3
val_Spatial_Relation_20_blur1,val_Spatial_Relation_20,Is the laptop touching the teddy bear?,blur,8
val_Spatial_Relation_20_blur2,val_Spatial_Relation_20,Is the laptop touching the teddy bear?,blur,3
val_Spatial_Relation_20_noise1,val_Spatial_Relation_20,Is the laptop touching the teddy bear?,noise,9
val_Spatial_Relation_20_noise2,val_Spatial_Relation_20,Is the laptop touching the teddy bear?,noise,6
val_Spatial_Relation_20_masking1,val_Spatial_Relation_20,Is the laptop touching the teddy bear?,masking,9
val_Spatial_Relation_20_masking2,val_Spatial_Relation_20,Is the laptop touching the teddy bear?,masking,6
val_Spatial_Relation_20_rotate1,val_Spatial_Relation_20,Is the laptop touching the teddy bear?,rotate,8
val_Spatial_Relation_20_rotate2,val_Spatial_Relation_20,Is the laptop touching the teddy bear?,rotate,3
val_Spatial_Relation_20_shift1,val_Spatial_Relation_20,Is the laptop touching the teddy bear?,shift,8
val_Spatial_Relation_20_shift2,val_Spatial_Relation_20,Is the laptop touching the teddy bear?,shift,3
val_Spatial_Relation_20_bw1,val_Spatial_Relation_20,Is the laptop touching the teddy bear?,bw,NA
val_Spatial_Relation_20_bw2,val_Spatial_Relation_20,Is the laptop touching the teddy bear?,bw,NA
val_Spatial_Relation_21_contrast1,val_Spatial_Relation_21,Is the dining table under the cat?,contrast,7
val_Spatial_Relation_21_contrast2,val_Spatial_Relation_21,Is the dining table under the cat?,contrast,4
val_Spatial_Relation_21_blur1,val_Spatial_Relation_21,Is the dining table under the cat?,blur,7
val_Spatial_Relation_21_blur2,val_Spatial_Relation_21,Is the dining table under the cat?,blur,4
val_Spatial_Relation_21_noise1,val_Spatial_Relation_21,Is the dining table under the cat?,noise,6
val_Spatial_Relation_21_noise2,val_Spatial_Relation_21,Is the dining table under the cat?,noise,8
