idx,question,orig_idx
val_Spatial_Reasoning_114_rephrased2,The laptop is in physical contact with the bench.,val_Spatial_Reasoning_114
val_Spatial_Reasoning_114_rephrased3,The laptop is in direct contact with the bench.,val_Spatial_Reasoning_114
val_Spatial_Reasoning_114_rephrased4,The bench is in direct contact with the laptop.,val_Spatial_Reasoning_114
val_Spatial_Reasoning_114_rephrased5,The laptop is resting on the bench.,val_Spatial_Reasoning_114
val_Spatial_Reasoning_114_rephrased6,The laptop is placed on the bench.,val_Spatial_Reasoning_114
val_Spatial_Reasoning_114_rephrased7,The bench is supporting the laptop.,val_Spatial_Reasoning_114
val_Spatial_Reasoning_114_rephrased8,The laptop is supported by the bench.,val_Spatial_Reasoning_114
val_Spatial_Reasoning_114_rephrased9,The laptop is sitting on the bench.,val_Spatial_Reasoning_114
val_Spatial_Reasoning_114_rephrased10,The bench has the laptop touching it.,val_Spatial_Reasoning_114
val_Spatial_Reasoning_114_rephrased11,The laptop is in contact with the surface of the bench.,val_Spatial_Reasoning_114
val_Spatial_Reasoning_114_rephrased12,The laptop is in contact with the bench's surface.,val_Spatial_Reasoning_114
val_Spatial_Reasoning_114_rephrased13,The bench is where the laptop is touching.,val_Spatial_Reasoning_114
val_Spatial_Reasoning_114_rephrased14,The laptop is positioned on the bench.,val_Spatial_Reasoning_114
val_Spatial_Reasoning_115_rephrased1,The laptop is below the dog.,val_Spatial_Reasoning_115
val_Spatial_Reasoning_115_rephrased2,The dog is situated above the laptop.,val_Spatial_Reasoning_115
val_Spatial_Reasoning_115_rephrased3,Above the laptop is the dog.,val_Spatial_Reasoning_115
val_Spatial_Reasoning_115_rephrased4,The laptop is positioned below the dog.,val_Spatial_Reasoning_115
val_Spatial_Reasoning_115_rephrased5,The dog is placed above the laptop.,val_Spatial_Reasoning_115
val_Spatial_Reasoning_115_rephrased6,The laptop is located below the dog.,val_Spatial_Reasoning_115
val_Spatial_Reasoning_115_rephrased7,The dog is positioned above the laptop.,val_Spatial_Reasoning_115
val_Spatial_Reasoning_115_rephrased8,The laptop is situated below the dog.,val_Spatial_Reasoning_115
val_Spatial_Reasoning_115_rephrased9,The dog is higher than the laptop.,val_Spatial_Reasoning_115
val_Spatial_Reasoning_115_rephrased10,The laptop is lower than the dog.,val_Spatial_Reasoning_115
val_Spatial_Reasoning_115_rephrased11,The dog is located above the laptop.,val_Spatial_Reasoning_115
val_Spatial_Reasoning_115_rephrased12,The laptop is beneath the dog.,val_Spatial_Reasoning_115
val_Spatial_Reasoning_115_rephrased13,The dog is on top of the laptop.,val_Spatial_Reasoning_115
val_Spatial_Reasoning_115_rephrased14,The laptop is on the bottom below the dog.,val_Spatial_Reasoning_115
val_Spatial_Reasoning_116_rephrased1,The dog is above the bench.,val_Spatial_Reasoning_116
val_Spatial_Reasoning_116_rephrased2,The bench is situated below the dog.,val_Spatial_Reasoning_116
val_Spatial_Reasoning_116_rephrased3,The dog is positioned above the bench.,val_Spatial_Reasoning_116
val_Spatial_Reasoning_116_rephrased4,The bench is located below the dog.,val_Spatial_Reasoning_116
val_Spatial_Reasoning_116_rephrased5,The dog is elevated above the bench.,val_Spatial_Reasoning_116
val_Spatial_Reasoning_116_rephrased6,The bench is placed below the dog.,val_Spatial_Reasoning_116
val_Spatial_Reasoning_116_rephrased7,The dog is higher than the bench.,val_Spatial_Reasoning_116
val_Spatial_Reasoning_116_rephrased8,The bench is positioned at a lower level than the dog.,val_Spatial_Reasoning_116
val_Spatial_Reasoning_116_rephrased9,The dog is above the bench in height.,val_Spatial_Reasoning_116
val_Spatial_Reasoning_116_rephrased10,The bench is situated at a lower level than the dog.,val_Spatial_Reasoning_116
val_Spatial_Reasoning_116_rephrased11,The dog is positioned at a higher level than the bench.,val_Spatial_Reasoning_116
val_Spatial_Reasoning_116_rephrased12,The bench is at a lower elevation than the dog.,val_Spatial_Reasoning_116
val_Spatial_Reasoning_116_rephrased13,The dog is at a higher elevation than the bench.,val_Spatial_Reasoning_116
val_Spatial_Reasoning_116_rephrased14,The bench is below the dog in terms of height.,val_Spatial_Reasoning_116
val_Spatial_Reasoning_117_rephrased1,The laptop is positioned above the dog.,val_Spatial_Reasoning_117
val_Spatial_Reasoning_117_rephrased2,"Above the dog, the laptop is situated.",val_Spatial_Reasoning_117
val_Spatial_Reasoning_117_rephrased3,The laptop is located directly above the dog.,val_Spatial_Reasoning_117
val_Spatial_Reasoning_117_rephrased4,The laptop is higher than the dog.,val_Spatial_Reasoning_117
val_Spatial_Reasoning_117_rephrased5,The laptop is positioned in a higher location than the dog.,val_Spatial_Reasoning_117
val_Spatial_Reasoning_117_rephrased6,"In relation to the dog, the laptop is situated above.",val_Spatial_Reasoning_117
val_Spatial_Reasoning_117_rephrased7,The laptop is placed above the dog.,val_Spatial_Reasoning_117
val_Spatial_Reasoning_117_rephrased8,"In comparison to the dog, the laptop's location is higher.",val_Spatial_Reasoning_117
val_Spatial_Reasoning_117_rephrased9,The dog is below the laptop.,val_Spatial_Reasoning_117
val_Spatial_Reasoning_117_rephrased10,The laptop is situated in a position above the dog.,val_Spatial_Reasoning_117
val_Spatial_Reasoning_117_rephrased11,The laptop's location is above the dog's.,val_Spatial_Reasoning_117
val_Spatial_Reasoning_117_rephrased12,The laptop is positioned on a higher level than the dog.,val_Spatial_Reasoning_117
val_Spatial_Reasoning_117_rephrased13,The laptop is in a position of being above the dog.,val_Spatial_Reasoning_117
val_Spatial_Reasoning_117_rephrased14,The laptop's position is directly above the dog.,val_Spatial_Reasoning_117
val_Spatial_Reasoning_118_rephrased1,The horse is positioned above the chair.,val_Spatial_Reasoning_118
val_Spatial_Reasoning_118_rephrased2,The chair lies beneath the horse's feet.,val_Spatial_Reasoning_118
val_Spatial_Reasoning_118_rephrased3,The chair is located at a lower level than the horse.,val_Spatial_Reasoning_118
val_Spatial_Reasoning_118_rephrased4,The horse stands above the chair.,val_Spatial_Reasoning_118
val_Spatial_Reasoning_118_rephrased5,The chair is situated at the bottom in relation to the horse.,val_Spatial_Reasoning_118
val_Spatial_Reasoning_118_rephrased6,The horse is positioned over the chair.,val_Spatial_Reasoning_118
val_Spatial_Reasoning_118_rephrased7,The chair is lower than the horse in height.,val_Spatial_Reasoning_118
val_Spatial_Reasoning_118_rephrased8,The horse is situated above the chair.,val_Spatial_Reasoning_118
val_Spatial_Reasoning_118_rephrased9,The chair is at a lower elevation than the horse.,val_Spatial_Reasoning_118
val_Spatial_Reasoning_118_rephrased10,The horse is positioned above the chair in height.,val_Spatial_Reasoning_118
val_Spatial_Reasoning_118_rephrased11,The chair is below the horse's level.,val_Spatial_Reasoning_118
val_Spatial_Reasoning_118_rephrased12,The horse is at a higher elevation than the chair.,val_Spatial_Reasoning_118
val_Spatial_Reasoning_118_rephrased13,The chair is positioned at the bottom relative to the horse.,val_Spatial_Reasoning_118
val_Spatial_Reasoning_118_rephrased14,The horse is above the chair in terms of height.,val_Spatial_Reasoning_118
val_Spatial_Reasoning_119_rephrased1,The laptop is facing the chair.,val_Spatial_Reasoning_119
val_Spatial_Reasoning_119_rephrased2,The chair is positioned in front of the laptop.,val_Spatial_Reasoning_119
val_Spatial_Reasoning_119_rephrased3,The laptop is situated in front of the chair.,val_Spatial_Reasoning_119
val_Spatial_Reasoning_119_rephrased4,The chair is directed towards the laptop.,val_Spatial_Reasoning_119
val_Spatial_Reasoning_119_rephrased5,The laptop is oriented towards the chair.,val_Spatial_Reasoning_119
val_Spatial_Reasoning_119_rephrased6,The chair is looking at the laptop.,val_Spatial_Reasoning_119
val_Spatial_Reasoning_119_rephrased7,The laptop is facing the direction of the chair.,val_Spatial_Reasoning_119
val_Spatial_Reasoning_119_rephrased8,The chair is situated opposite the laptop.,val_Spatial_Reasoning_119
val_Spatial_Reasoning_119_rephrased9,The laptop is positioned opposite the chair.,val_Spatial_Reasoning_119
val_Spatial_Reasoning_119_rephrased10,The chair is turned towards the laptop.,val_Spatial_Reasoning_119
val_Spatial_Reasoning_119_rephrased11,The laptop is situated adjacent to the chair.,val_Spatial_Reasoning_119
val_Spatial_Reasoning_119_rephrased12,The chair is aligned with the laptop.,val_Spatial_Reasoning_119
val_Spatial_Reasoning_119_rephrased13,The laptop is in line with the chair.,val_Spatial_Reasoning_119
val_Spatial_Reasoning_119_rephrased14,The chair is pointing towards the laptop.,val_Spatial_Reasoning_119
val_Spatial_Reasoning_120_rephrased1,The horse is facing the dog.,val_Spatial_Reasoning_120
val_Spatial_Reasoning_120_rephrased2,The dog is oriented towards the horse.,val_Spatial_Reasoning_120
val_Spatial_Reasoning_120_rephrased3,The horse is oriented towards the dog.,val_Spatial_Reasoning_120
val_Spatial_Reasoning_120_rephrased4,The dog is turned towards the horse.,val_Spatial_Reasoning_120
val_Spatial_Reasoning_120_rephrased5,The horse is turned towards the dog.,val_Spatial_Reasoning_120
val_Spatial_Reasoning_120_rephrased6,The dog is positioned with its face towards the horse.,val_Spatial_Reasoning_120
val_Spatial_Reasoning_120_rephrased7,The horse is positioned with its face towards the dog.,val_Spatial_Reasoning_120
val_Spatial_Reasoning_120_rephrased8,The dog is looking directly at the horse.,val_Spatial_Reasoning_120
val_Spatial_Reasoning_120_rephrased9,The horse is looking directly at the dog.,val_Spatial_Reasoning_120
val_Spatial_Reasoning_120_rephrased10,The dog is facing in the direction of the horse.,val_Spatial_Reasoning_120
val_Spatial_Reasoning_120_rephrased11,The horse is facing in the direction of the dog.,val_Spatial_Reasoning_120
val_Spatial_Reasoning_120_rephrased12,The dog is situated with its front towards the horse.,val_Spatial_Reasoning_120
val_Spatial_Reasoning_120_rephrased13,The horse is situated with its front towards the dog.,val_Spatial_Reasoning_120
val_Spatial_Reasoning_120_rephrased14,The dog is standing in the direction of the horse.,val_Spatial_Reasoning_120
val_Spatial_Reasoning_121_rephrased1,The horse and the zebra are in contact with each other.,val_Spatial_Reasoning_121
val_Spatial_Reasoning_121_rephrased2,The zebra is physically in contact with the horse.,val_Spatial_Reasoning_121
val_Spatial_Reasoning_121_rephrased3,The horse and the zebra are in close proximity.,val_Spatial_Reasoning_121
val_Spatial_Reasoning_121_rephrased4,The zebra is making contact with the horse.,val_Spatial_Reasoning_121
val_Spatial_Reasoning_121_rephrased5,The horse and the zebra are adjacent to each other.,val_Spatial_Reasoning_121
val_Spatial_Reasoning_121_rephrased6,The zebra is next to the horse.,val_Spatial_Reasoning_121
val_Spatial_Reasoning_121_rephrased7,The horse and the zebra are side by side.,val_Spatial_Reasoning_121
val_Spatial_Reasoning_121_rephrased8,The zebra is touching the horse with its body.,val_Spatial_Reasoning_121
val_Spatial_Reasoning_121_rephrased9,The horse is being touched by the zebra.,val_Spatial_Reasoning_121
val_Spatial_Reasoning_121_rephrased10,The zebra and the horse are in a touching position.,val_Spatial_Reasoning_121
val_Spatial_Reasoning_121_rephrased11,The horse and the zebra are in a state of physical contact.,val_Spatial_Reasoning_121
val_Spatial_Reasoning_121_rephrased12,The zebra is in direct contact with the horse.,val_Spatial_Reasoning_121
val_Spatial_Reasoning_121_rephrased13,The horse and the zebra are physically adjacent.,val_Spatial_Reasoning_121
val_Spatial_Reasoning_121_rephrased14,The zebra's body is in contact with the horse's body.,val_Spatial_Reasoning_121
val_Spatial_Reasoning_122_rephrased1,The chair is directly in front of the laptop.,val_Spatial_Reasoning_122
val_Spatial_Reasoning_122_rephrased2,The laptop is situated in front of the chair.,val_Spatial_Reasoning_122
val_Spatial_Reasoning_122_rephrased3,The chair is positioned in front of the laptop.,val_Spatial_Reasoning_122
val_Spatial_Reasoning_122_rephrased4,The laptop is placed opposite the chair.,val_Spatial_Reasoning_122
val_Spatial_Reasoning_122_rephrased5,The chair is located in front of the laptop.,val_Spatial_Reasoning_122
val_Spatial_Reasoning_122_rephrased6,The laptop is positioned in front of the chair.,val_Spatial_Reasoning_122
val_Spatial_Reasoning_122_rephrased7,The chair is directly opposite the laptop.,val_Spatial_Reasoning_122
val_Spatial_Reasoning_122_rephrased8,The laptop is facing a chair.,val_Spatial_Reasoning_122
val_Spatial_Reasoning_122_rephrased9,The laptop is situated in the same direction as the chair.,val_Spatial_Reasoning_122
val_Spatial_Reasoning_122_rephrased10,The chair is opposite the laptop.,val_Spatial_Reasoning_122
val_Spatial_Reasoning_122_rephrased11,The laptop is placed in front of the chair.,val_Spatial_Reasoning_122
val_Spatial_Reasoning_122_rephrased12,The chair is facing the laptop's back is not visible.,val_Spatial_Reasoning_122
val_Spatial_Reasoning_122_rephrased13,The laptop is positioned with its front side towards the chair.,val_Spatial_Reasoning_122
val_Spatial_Reasoning_122_rephrased14,The laptop is oriented in the direction of the chair.,val_Spatial_Reasoning_122
val_Spatial_Reasoning_123_rephrased1,The chair is positioned behind the laptop.,val_Spatial_Reasoning_123
val_Spatial_Reasoning_123_rephrased2,The laptop is oriented in the opposite direction from the chair.,val_Spatial_Reasoning_123
val_Spatial_Reasoning_123_rephrased3,The laptop is positioned away from the chair.,val_Spatial_Reasoning_123
val_Spatial_Reasoning_123_rephrased4,The laptop is angled away from the chair.,val_Spatial_Reasoning_123
val_Spatial_Reasoning_123_rephrased5,The chair is situated behind the laptop's back.,val_Spatial_Reasoning_123
val_Spatial_Reasoning_123_rephrased6,The laptop's back is turned towards the chair.,val_Spatial_Reasoning_123
val_Spatial_Reasoning_123_rephrased7,The laptop is directed away from the chair.,val_Spatial_Reasoning_123
val_Spatial_Reasoning_123_rephrased8,The laptop is turned away from the chair's direction.,val_Spatial_Reasoning_123
val_Spatial_Reasoning_123_rephrased9,The chair is placed behind the laptop's rear.,val_Spatial_Reasoning_123
val_Spatial_Reasoning_123_rephrased10,The laptop is positioned in the opposite direction of the chair.,val_Spatial_Reasoning_123
val_Spatial_Reasoning_123_rephrased11,The laptop is facing away from the chair's location.,val_Spatial_Reasoning_123
val_Spatial_Reasoning_123_rephrased12,The chair is positioned at the rear of the laptop.,val_Spatial_Reasoning_123
val_Spatial_Reasoning_123_rephrased13,The laptop's front is not directed towards the chair.,val_Spatial_Reasoning_123
val_Spatial_Reasoning_123_rephrased14,The laptop is oriented with its back towards the chair.,val_Spatial_Reasoning_123
val_Spatial_Reasoning_124_rephrased1,The bench is above the dog.,val_Spatial_Reasoning_124
val_Spatial_Reasoning_124_rephrased2,The dog is situated below the bench.,val_Spatial_Reasoning_124
val_Spatial_Reasoning_124_rephrased3,Is the dog located below the bench?,val_Spatial_Reasoning_124
val_Spatial_Reasoning_124_rephrased4,The dog is positioned beneath the bench.,val_Spatial_Reasoning_124
val_Spatial_Reasoning_124_rephrased5,The bench is positioned above the dog.,val_Spatial_Reasoning_124
val_Spatial_Reasoning_124_rephrased6,Below the bench is where the dog is.,val_Spatial_Reasoning_124
val_Spatial_Reasoning_124_rephrased7,The dog can be found below the bench.,val_Spatial_Reasoning_124
val_Spatial_Reasoning_124_rephrased8,What is the location of the dog in relation to the bench?,val_Spatial_Reasoning_124
val_Spatial_Reasoning_124_rephrased9,The dog is positioned at a lower level than the bench.,val_Spatial_Reasoning_124
val_Spatial_Reasoning_124_rephrased10,The dog is situated at the bottom relative to the bench.,val_Spatial_Reasoning_124
val_Spatial_Reasoning_124_rephrased11,The dog is below the level of the bench.,val_Spatial_Reasoning_124
val_Spatial_Reasoning_124_rephrased12,The bench is positioned above the dog in elevation.,val_Spatial_Reasoning_124
val_Spatial_Reasoning_124_rephrased13,Is the dog positioned below the bench in elevation?,val_Spatial_Reasoning_124
val_Spatial_Reasoning_124_rephrased14,The dog is positioned at a lower elevation than the bench.,val_Spatial_Reasoning_124
val_Spatial_Reasoning_125_rephrased1,The horse is above the chair.,val_Spatial_Reasoning_125
val_Spatial_Reasoning_125_rephrased2,The chair is positioned beneath the horse.,val_Spatial_Reasoning_125
val_Spatial_Reasoning_125_rephrased3,The chair lies below the horse.,val_Spatial_Reasoning_125
val_Spatial_Reasoning_125_rephrased4,Is the chair situated below the horse?,val_Spatial_Reasoning_125
val_Spatial_Reasoning_125_rephrased5,The horse is positioned above the chair.,val_Spatial_Reasoning_125
val_Spatial_Reasoning_125_rephrased6,The chair is located under the horse.,val_Spatial_Reasoning_125
val_Spatial_Reasoning_125_rephrased7,Is the chair placed beneath the horse?,val_Spatial_Reasoning_125
val_Spatial_Reasoning_125_rephrased8,The horse is above the chair in height.,val_Spatial_Reasoning_125
val_Spatial_Reasoning_125_rephrased9,The chair is situated beneath the horse.,val_Spatial_Reasoning_125
val_Spatial_Reasoning_125_rephrased10,The horse is positioned on top of the chair.,val_Spatial_Reasoning_125
val_Spatial_Reasoning_125_rephrased11,The chair is positioned below the horse.,val_Spatial_Reasoning_125
val_Spatial_Reasoning_125_rephrased12,The horse is above the chair in elevation.,val_Spatial_Reasoning_125
val_Spatial_Reasoning_125_rephrased13,Is the chair placed under the horse?,val_Spatial_Reasoning_125
val_Spatial_Reasoning_125_rephrased14,The chair is located beneath the horse's base.,val_Spatial_Reasoning_125
val_Spatial_Reasoning_126_rephrased1,The bench has the dog sitting on top of it.,val_Spatial_Reasoning_126
val_Spatial_Reasoning_126_rephrased2,The dog is positioned above the bench.,val_Spatial_Reasoning_126
val_Spatial_Reasoning_126_rephrased3,The bench is being sat on by the dog from above.,val_Spatial_Reasoning_126
val_Spatial_Reasoning_126_rephrased4,The dog is currently situated above the bench.,val_Spatial_Reasoning_126
val_Spatial_Reasoning_126_rephrased5,The bench has the dog placed on top.,val_Spatial_Reasoning_126
val_Spatial_Reasoning_126_rephrased6,The dog is perched above the bench.,val_Spatial_Reasoning_126
val_Spatial_Reasoning_126_rephrased7,The dog is on the upper surface of the bench.,val_Spatial_Reasoning_126
val_Spatial_Reasoning_126_rephrased8,The bench is being occupied by the dog from above.,val_Spatial_Reasoning_126
val_Spatial_Reasoning_126_rephrased9,The dog is sitting in a location above the bench.,val_Spatial_Reasoning_126
val_Spatial_Reasoning_126_rephrased10,The upper part of the bench is occupied by the dog.,val_Spatial_Reasoning_126
val_Spatial_Reasoning_126_rephrased11,The dog is positioned on the upper side of the bench.,val_Spatial_Reasoning_126
val_Spatial_Reasoning_126_rephrased12,The bench has the dog in a position above it.,val_Spatial_Reasoning_126
val_Spatial_Reasoning_126_rephrased13,The dog is situated on top of the bench's surface.,val_Spatial_Reasoning_126
val_Spatial_Reasoning_126_rephrased14,The dog is currently sitting above the bench.,val_Spatial_Reasoning_126
val_Spatial_Reasoning_127_rephrased1,The laptop has the bench positioned behind it.,val_Spatial_Reasoning_127
val_Spatial_Reasoning_127_rephrased2,The bench is situated behind the laptop.,val_Spatial_Reasoning_127
val_Spatial_Reasoning_127_rephrased3,"Behind the laptop, there is a bench.",val_Spatial_Reasoning_127
val_Spatial_Reasoning_127_rephrased4,The laptop is in front of the bench.,val_Spatial_Reasoning_127
val_Spatial_Reasoning_127_rephrased5,The bench is placed behind the laptop.,val_Spatial_Reasoning_127
val_Spatial_Reasoning_127_rephrased6,A bench is located behind the laptop.,val_Spatial_Reasoning_127
val_Spatial_Reasoning_127_rephrased7,The laptop is positioned in front of the bench.,val_Spatial_Reasoning_127
val_Spatial_Reasoning_127_rephrased8,The bench is positioned behind the laptop.,val_Spatial_Reasoning_127
val_Spatial_Reasoning_127_rephrased9,"Behind the bench, there is a laptop.",val_Spatial_Reasoning_127
val_Spatial_Reasoning_127_rephrased10,The bench is in the rear of the laptop.,val_Spatial_Reasoning_127
val_Spatial_Reasoning_127_rephrased11,The laptop has the bench at its back.,val_Spatial_Reasoning_127
val_Spatial_Reasoning_127_rephrased12,The bench is located in the rear of the laptop.,val_Spatial_Reasoning_127
val_Spatial_Reasoning_127_rephrased13,The laptop is at the front of the bench.,val_Spatial_Reasoning_127
val_Spatial_Reasoning_127_rephrased14,The bench is situated at the back of the laptop.,val_Spatial_Reasoning_127
val_Spatial_Reasoning_128_rephrased1,The laptop is situated above the chair.,val_Spatial_Reasoning_128
val_Spatial_Reasoning_128_rephrased2,The laptop is positioned above the chair.,val_Spatial_Reasoning_128
val_Spatial_Reasoning_128_rephrased3,The laptop is located above the chair.,val_Spatial_Reasoning_128
val_Spatial_Reasoning_128_rephrased4,The laptop is positioned on top of the chair.,val_Spatial_Reasoning_128
val_Spatial_Reasoning_128_rephrased5,The laptop is placed above the chair.,val_Spatial_Reasoning_128
val_Spatial_Reasoning_128_rephrased6,The laptop sits above the chair.,val_Spatial_Reasoning_128
val_Spatial_Reasoning_128_rephrased7,The laptop is situated on top of the chair.,val_Spatial_Reasoning_128
val_Spatial_Reasoning_128_rephrased8,The laptop is above the chair in height.,val_Spatial_Reasoning_128
val_Spatial_Reasoning_128_rephrased9,The laptop is positioned higher than the chair.,val_Spatial_Reasoning_128
val_Spatial_Reasoning_128_rephrased10,The laptop is above the chair in elevation.,val_Spatial_Reasoning_128
val_Spatial_Reasoning_128_rephrased11,The laptop is placed on top of the chair.,val_Spatial_Reasoning_128
val_Spatial_Reasoning_128_rephrased12,The laptop is located on top of the chair.,val_Spatial_Reasoning_128
val_Spatial_Reasoning_128_rephrased13,The laptop is situated higher than the chair.,val_Spatial_Reasoning_128
val_Spatial_Reasoning_128_rephrased14,The laptop is above the chair in a vertical sense.,val_Spatial_Reasoning_128
val_Spatial_Reasoning_129_rephrased1,The laptop sits on the bench.,val_Spatial_Reasoning_129
val_Spatial_Reasoning_129_rephrased2,A laptop is located on the bench.,val_Spatial_Reasoning_129
val_Spatial_Reasoning_129_rephrased3,The laptop is situated on the bench.,val_Spatial_Reasoning_129
val_Spatial_Reasoning_129_rephrased4,The laptop rests on the bench.,val_Spatial_Reasoning_129
val_Spatial_Reasoning_129_rephrased5,"On the bench, you'll find the laptop.",val_Spatial_Reasoning_129
val_Spatial_Reasoning_129_rephrased6,The laptop is positioned on the bench.,val_Spatial_Reasoning_129
val_Spatial_Reasoning_129_rephrased7,The laptop is placed on the bench.,val_Spatial_Reasoning_129
val_Spatial_Reasoning_129_rephrased8,The laptop occupies the bench.,val_Spatial_Reasoning_129
val_Spatial_Reasoning_129_rephrased9,A laptop is found on the bench.,val_Spatial_Reasoning_129
val_Spatial_Reasoning_129_rephrased10,The laptop is currently on the bench.,val_Spatial_Reasoning_129
val_Spatial_Reasoning_129_rephrased11,The laptop is on the surface of the bench.,val_Spatial_Reasoning_129
val_Spatial_Reasoning_129_rephrased12,The laptop has been put on the bench.,val_Spatial_Reasoning_129
val_Spatial_Reasoning_129_rephrased13,The laptop is positioned at the bench.,val_Spatial_Reasoning_129
val_Spatial_Reasoning_129_rephrased14,The laptop is sitting on the bench.,val_Spatial_Reasoning_129
val_Spatial_Reasoning_130_rephrased1,The horse has the dog positioned on its right side.,val_Spatial_Reasoning_130
val_Spatial_Reasoning_130_rephrased2,The dog is located on the right-hand side of the horse.,val_Spatial_Reasoning_130
val_Spatial_Reasoning_130_rephrased3,The horse and dog are arranged with the dog on the right.,val_Spatial_Reasoning_130
val_Spatial_Reasoning_130_rephrased4,The dog is situated on the right side of the horse's body.,val_Spatial_Reasoning_130
val_Spatial_Reasoning_130_rephrased5,The horse is positioned with the dog on its right side.,val_Spatial_Reasoning_130
val_Spatial_Reasoning_130_rephrased6,The dog occupies the right side of the horse.,val_Spatial_Reasoning_130
val_Spatial_Reasoning_130_rephrased7,The horse and the dog are standing with the dog on the right.,val_Spatial_Reasoning_130
val_Spatial_Reasoning_130_rephrased8,The dog is positioned to the right of the horse.,val_Spatial_Reasoning_130
val_Spatial_Reasoning_130_rephrased9,The right side of the horse has the dog on it.,val_Spatial_Reasoning_130
val_Spatial_Reasoning_130_rephrased10,The horse has the dog on the right-hand side of it.,val_Spatial_Reasoning_130
