idx,orig_idx,question,transformation_type,intensity,image_idx
val_Spatial_Relation_3_contrast2_rephrased1,val_Spatial_Relation_3,Is the bed located on the right-hand side of the dining table?,contrast,7.0,val_Spatial_Relation_3_contrast2
val_Spatial_Relation_3_contrast2_rephrased2,val_Spatial_Relation_3,"Is the dining table situated on the left-hand side of the bed, or is it to the right?",contrast,7.0,val_Spatial_Relation_3_contrast2
val_Spatial_Relation_3_contrast2_rephrased3,val_Spatial_Relation_3,Is the bed positioned next to the dining table on the right-hand side?,contrast,7.0,val_Spatial_Relation_3_contrast2
val_Spatial_Relation_3_contrast2_rephrased4,val_Spatial_Relation_3,Is the bed located to the right of the dining table?,contrast,7.0,val_Spatial_Relation_3_contrast2
val_Spatial_Relation_3_blur1_rephrased1,val_Spatial_Relation_3,Is the bed situated adjacent to the right side of the dining table?,blur,8.0,val_Spatial_Relation_3_blur1
val_Spatial_Relation_3_blur1_rephrased2,val_Spatial_Relation_3,Is the bed located on the right side of the dining table?,blur,8.0,val_Spatial_Relation_3_blur1
val_Spatial_Relation_3_blur1_rephrased3,val_Spatial_Relation_3,Is the bed positioned to the right of the dining table?,blur,8.0,val_Spatial_Relation_3_blur1
val_Spatial_Relation_3_blur1_rephrased4,val_Spatial_Relation_3,Is the bed located at the right-hand side of the dining table?,blur,8.0,val_Spatial_Relation_3_blur1
val_Spatial_Relation_3_blur2_rephrased1,val_Spatial_Relation_3,Is the bed located adjacent to the dining table on the right-hand side?,blur,7.0,val_Spatial_Relation_3_blur2
val_Spatial_Relation_3_blur2_rephrased2,val_Spatial_Relation_3,Is the bed situated on the right side of the dining table?,blur,7.0,val_Spatial_Relation_3_blur2
val_Spatial_Relation_3_blur2_rephrased3,val_Spatial_Relation_3,Is the bed positioned to the right of the dining table?,blur,7.0,val_Spatial_Relation_3_blur2
val_Spatial_Relation_3_blur2_rephrased4,val_Spatial_Relation_3,Is the bed on the right side of the dining table?,blur,7.0,val_Spatial_Relation_3_blur2
val_Spatial_Relation_3_noise1_rephrased1,val_Spatial_Relation_3,Is the bed located next to the dining table on the right-hand side?,noise,5.0,val_Spatial_Relation_3_noise1
val_Spatial_Relation_3_noise1_rephrased2,val_Spatial_Relation_3,Is the bed situated on the right side when standing at the dining table?,noise,5.0,val_Spatial_Relation_3_noise1
val_Spatial_Relation_3_noise1_rephrased3,val_Spatial_Relation_3,Is the bed positioned on the right-hand side of the dining table?,noise,5.0,val_Spatial_Relation_3_noise1
val_Spatial_Relation_3_noise1_rephrased4,val_Spatial_Relation_3,Is the bed located on the right-hand side when facing the dining table?,noise,5.0,val_Spatial_Relation_3_noise1
val_Spatial_Relation_3_noise2_rephrased1,val_Spatial_Relation_3,Is the bed located to the immediate right of the dining table?,noise,9.0,val_Spatial_Relation_3_noise2
val_Spatial_Relation_3_noise2_rephrased2,val_Spatial_Relation_3,Is the bed situated on the right-hand side of the dining table?,noise,9.0,val_Spatial_Relation_3_noise2
val_Spatial_Relation_3_noise2_rephrased3,val_Spatial_Relation_3,Is the bed positioned to the right of the dining table?,noise,9.0,val_Spatial_Relation_3_noise2
val_Spatial_Relation_3_noise2_rephrased4,val_Spatial_Relation_3,Is the bed located directly to the right of the dining table?,noise,9.0,val_Spatial_Relation_3_noise2
val_Spatial_Relation_3_masking1_rephrased1,val_Spatial_Relation_3,Is the bed located beside the dining table on the right-hand side?,masking,5.0,val_Spatial_Relation_3_masking1
val_Spatial_Relation_3_masking1_rephrased2,val_Spatial_Relation_3,Is the right side of the dining table occupied by a bed?,masking,5.0,val_Spatial_Relation_3_masking1
val_Spatial_Relation_3_masking1_rephrased3,val_Spatial_Relation_3,Is there a bed situated next to the dining table on the right?,masking,5.0,val_Spatial_Relation_3_masking1
val_Spatial_Relation_3_masking1_rephrased4,val_Spatial_Relation_3,Is the bed positioned to the right of the dining table?,masking,5.0,val_Spatial_Relation_3_masking1
val_Spatial_Relation_3_masking2_rephrased1,val_Spatial_Relation_3,Is the bed located on the right-hand side of the dining table?,masking,9.0,val_Spatial_Relation_3_masking2
val_Spatial_Relation_3_masking2_rephrased2,val_Spatial_Relation_3,Is the bed situated at the right side of the dining table?,masking,9.0,val_Spatial_Relation_3_masking2
val_Spatial_Relation_3_masking2_rephrased3,val_Spatial_Relation_3,Is the bed positioned on the right side of the dining table?,masking,9.0,val_Spatial_Relation_3_masking2
val_Spatial_Relation_3_masking2_rephrased4,val_Spatial_Relation_3,Is the bed placed on the right side of the dining table?,masking,9.0,val_Spatial_Relation_3_masking2
val_Spatial_Relation_3_rotate1_rephrased1,val_Spatial_Relation_3,Is the bed located beside the dining table on the right-hand side?,rotate,8.0,val_Spatial_Relation_3_rotate1
val_Spatial_Relation_3_rotate1_rephrased2,val_Spatial_Relation_3,Is the bed situated on the right side of the dining table?,rotate,8.0,val_Spatial_Relation_3_rotate1
val_Spatial_Relation_3_rotate1_rephrased3,val_Spatial_Relation_3,Is the bed placed on the right side of the dining table?,rotate,8.0,val_Spatial_Relation_3_rotate1
val_Spatial_Relation_3_rotate1_rephrased4,val_Spatial_Relation_3,Is the bed positioned at the right side of the dining table?,rotate,8.0,val_Spatial_Relation_3_rotate1
val_Spatial_Relation_3_rotate2_rephrased1,val_Spatial_Relation_3,Is the bed located on the right-hand side of the dining table?,rotate,7.0,val_Spatial_Relation_3_rotate2
val_Spatial_Relation_3_rotate2_rephrased2,val_Spatial_Relation_3,Is the dining table situated next to a bed on its right side?,rotate,7.0,val_Spatial_Relation_3_rotate2
val_Spatial_Relation_3_rotate2_rephrased3,val_Spatial_Relation_3,Is there a bed positioned on the right-hand side of the dining table?,rotate,7.0,val_Spatial_Relation_3_rotate2
val_Spatial_Relation_3_rotate2_rephrased4,val_Spatial_Relation_3,Is the bed placed adjacent to the dining table on its right side?,rotate,7.0,val_Spatial_Relation_3_rotate2
val_Spatial_Relation_3_shift1_rephrased1,val_Spatial_Relation_3,Is the bed located next to the dining table on the right-hand side?,shift,8.0,val_Spatial_Relation_3_shift1
val_Spatial_Relation_3_shift1_rephrased2,val_Spatial_Relation_3,Is the bed situated on the right side when standing at the dining table?,shift,8.0,val_Spatial_Relation_3_shift1
val_Spatial_Relation_3_shift1_rephrased3,val_Spatial_Relation_3,Is the bed placed on the right side of the dining table?,shift,8.0,val_Spatial_Relation_3_shift1
val_Spatial_Relation_3_shift1_rephrased4,val_Spatial_Relation_3,Is the bed located on the right side of the dining area that includes the table?,shift,8.0,val_Spatial_Relation_3_shift1
val_Spatial_Relation_3_shift2_rephrased1,val_Spatial_Relation_3,Is the bed situated to the right of the dining table?,shift,7.0,val_Spatial_Relation_3_shift2
val_Spatial_Relation_3_shift2_rephrased2,val_Spatial_Relation_3,Is the dining table located to the left of the bed in question?,shift,7.0,val_Spatial_Relation_3_shift2
val_Spatial_Relation_3_shift2_rephrased3,val_Spatial_Relation_3,Is the bed positioned to the right when facing the dining table?,shift,7.0,val_Spatial_Relation_3_shift2
val_Spatial_Relation_3_shift2_rephrased4,val_Spatial_Relation_3,Is the bed located on the right-hand side when standing in front of the dining table?,shift,7.0,val_Spatial_Relation_3_shift2
val_Spatial_Relation_3_bw1_rephrased1,val_Spatial_Relation_3,Is the bed situated to the right of the dining table?,bw,,val_Spatial_Relation_3_bw1
val_Spatial_Relation_3_bw1_rephrased2,val_Spatial_Relation_3,Is the bed positioned to the right side of the dining table?,bw,,val_Spatial_Relation_3_bw1
val_Spatial_Relation_3_bw1_rephrased3,val_Spatial_Relation_3,Is the bed located on the right-hand side of the dining table?,bw,,val_Spatial_Relation_3_bw1
val_Spatial_Relation_3_bw1_rephrased4,val_Spatial_Relation_3,Is the bed positioned on the right side of the dining table?,bw,,val_Spatial_Relation_3_bw1
val_Spatial_Relation_3_bw2_rephrased1,val_Spatial_Relation_3,Is the bed located on the right-hand side of the dining table?,bw,,val_Spatial_Relation_3_bw2
val_Spatial_Relation_3_bw2_rephrased2,val_Spatial_Relation_3,Is the bed situated to the right of the dining table?,bw,,val_Spatial_Relation_3_bw2
val_Spatial_Relation_3_bw2_rephrased3,val_Spatial_Relation_3,Is the bed positioned to the right of the dining table in relation to the dining table?,bw,,val_Spatial_Relation_3_bw2
val_Spatial_Relation_3_bw2_rephrased4,val_Spatial_Relation_3,Is the bed located on the right side in relation to the dining table?,bw,,val_Spatial_Relation_3_bw2
val_Spatial_Relation_4_contrast1_rephrased1,val_Spatial_Relation_4,Is the bowl positioned in front of the apple?,contrast,6.0,val_Spatial_Relation_4_contrast1
val_Spatial_Relation_4_contrast1_rephrased2,val_Spatial_Relation_4,Is the apple in front of a bowl?,contrast,6.0,val_Spatial_Relation_4_contrast1
val_Spatial_Relation_4_contrast1_rephrased3,val_Spatial_Relation_4,Is there a bowl situated in front of the apple?,contrast,6.0,val_Spatial_Relation_4_contrast1
val_Spatial_Relation_4_contrast1_rephrased4,val_Spatial_Relation_4,Is the apple facing a bowl that is located in front of it?,contrast,6.0,val_Spatial_Relation_4_contrast1
val_Spatial_Relation_4_contrast2_rephrased1,val_Spatial_Relation_4,Is the apple in front of the bowl?,contrast,3.0,val_Spatial_Relation_4_contrast2
val_Spatial_Relation_4_contrast2_rephrased2,val_Spatial_Relation_4,Is the bowl positioned in front of the apple?,contrast,3.0,val_Spatial_Relation_4_contrast2
val_Spatial_Relation_4_contrast2_rephrased3,val_Spatial_Relation_4,Is the apple situated in front of the bowl?,contrast,3.0,val_Spatial_Relation_4_contrast2
val_Spatial_Relation_4_contrast2_rephrased4,val_Spatial_Relation_4,Is the position of the bowl in front of the apple?,contrast,3.0,val_Spatial_Relation_4_contrast2
val_Spatial_Relation_4_blur1_rephrased1,val_Spatial_Relation_4,Is the bowl situated directly in front of the apple?,blur,6.0,val_Spatial_Relation_4_blur1
val_Spatial_Relation_4_blur1_rephrased2,val_Spatial_Relation_4,Is the bowl positioned in a location that is ahead of the apple?,blur,6.0,val_Spatial_Relation_4_blur1
val_Spatial_Relation_4_blur1_rephrased3,val_Spatial_Relation_4,Is the apple in front of the bowl?,blur,6.0,val_Spatial_Relation_4_blur1
val_Spatial_Relation_4_blur1_rephrased4,val_Spatial_Relation_4,Is the bowl placed immediately in front of the apple?,blur,6.0,val_Spatial_Relation_4_blur1
val_Spatial_Relation_4_blur2_rephrased1,val_Spatial_Relation_4,Is the apple in front of the bowl?,blur,3.0,val_Spatial_Relation_4_blur2
val_Spatial_Relation_4_blur2_rephrased2,val_Spatial_Relation_4,Is the bowl positioned ahead of the apple?,blur,3.0,val_Spatial_Relation_4_blur2
val_Spatial_Relation_4_blur2_rephrased3,val_Spatial_Relation_4,Is the apple situated in front of the bowl?,blur,3.0,val_Spatial_Relation_4_blur2
