id,question,audio_path,optionA,optionB,optionC,optionD,correct,source_wavs,source_categories
108,Which sound event occurs first?,audios/108.wav,Airplane,hand_saw,Frog,Mouse click,B,"['/home/data/ESC-50/ESC-50-master/audio/1-9887-B-49.wav', '/home/data/ESC-50/ESC-50-master/audio/5-156999-E-19.wav', '/home/data/ESC-50/ESC-50-master/audio/1-24074-A-43.wav', '/home/data/ESC-50/ESC-50-master/audio/3-171012-A-38.wav']","['hand_saw', 'thunderstorm', 'car_horn', 'clock_tick']"
109,Which sound event occurs fourth?,audios/109.wav,Siren,frog,Footsteps,Thunderstorm,B,"['/home/data/ESC-50/ESC-50-master/audio/5-147297-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/3-58772-A-42.wav', '/home/data/ESC-50/ESC-50-master/audio/1-18631-A-23.wav', '/home/data/ESC-50/ESC-50-master/audio/4-99193-A-4.wav']","['brushing_teeth', 'siren', 'breathing', 'frog']"
110,Which sound event occurs third?,audios/110.wav,breathing,Keyboard typing,Chainsaw,Thunderstorm,A,"['/home/data/ESC-50/ESC-50-master/audio/4-234879-A-6.wav', '/home/data/ESC-50/ESC-50-master/audio/2-82071-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/4-205526-A-23.wav']","['hen', 'brushing_teeth', 'breathing']"
111,Which sound event occurs first?,audios/111.wav,Thunderstorm,church_bells,Crying baby,Chirping birds,B,"['/home/data/ESC-50/ESC-50-master/audio/3-111102-B-46.wav', '/home/data/ESC-50/ESC-50-master/audio/5-191497-A-33.wav']","['church_bells', 'door_wood_creaks']"
112,Which sound event occurs third?,audios/112.wav,Wind,Coughing,Sheep,drinking_sipping,D,"['/home/data/ESC-50/ESC-50-master/audio/5-253101-A-49.wav', '/home/data/ESC-50/ESC-50-master/audio/3-151089-A-30.wav', '/home/data/ESC-50/ESC-50-master/audio/3-145387-A-29.wav', '/home/data/ESC-50/ESC-50-master/audio/2-96904-A-27.wav']","['hand_saw', 'door_wood_knock', 'drinking_sipping', 'brushing_teeth']"
113,Which sound event occurs second?,audios/113.wav,Thunderstorm,snoring,Crying baby,Clock alarm,B,"['/home/data/ESC-50/ESC-50-master/audio/2-126433-A-17.wav', '/home/data/ESC-50/ESC-50-master/audio/4-191297-A-28.wav']","['pouring_water', 'snoring']"
115,Which sound event occurs second?,audios/115.wav,Brushing teeth,clapping,Clock tick,Coughing,B,"['/home/data/ESC-50/ESC-50-master/audio/3-162786-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/3-138114-A-22.wav', '/home/data/ESC-50/ESC-50-master/audio/5-217186-B-16.wav']","['crickets', 'clapping', 'wind']"
116,Which sound event occurs third?,audios/116.wav,dog,Water drops,Rooster,Can opening,A,"['/home/data/ESC-50/ESC-50-master/audio/2-102414-E-17.wav', '/home/data/ESC-50/ESC-50-master/audio/1-32373-A-35.wav', '/home/data/ESC-50/ESC-50-master/audio/2-122104-B-0.wav', '/home/data/ESC-50/ESC-50-master/audio/4-107122-A-33.wav']","['pouring_water', 'washing_machine', 'dog', 'door_wood_creaks']"
117,Which sound event occurs second?,audios/117.wav,Sea waves,Breathing,Glass breaking,fireworks,D,"['/home/data/ESC-50/ESC-50-master/audio/4-218199-G-35.wav', '/home/data/ESC-50/ESC-50-master/audio/4-119648-D-48.wav', '/home/data/ESC-50/ESC-50-master/audio/4-197871-A-15.wav']","['washing_machine', 'fireworks', 'water_drops']"
119,Which sound event occurs third?,audios/119.wav,Snoring,siren,Cow,Train,B,"['/home/data/ESC-50/ESC-50-master/audio/3-166326-A-15.wav', '/home/data/ESC-50/ESC-50-master/audio/4-165813-A-19.wav', '/home/data/ESC-50/ESC-50-master/audio/5-133989-A-42.wav', '/home/data/ESC-50/ESC-50-master/audio/5-211408-A-37.wav']","['water_drops', 'thunderstorm', 'siren', 'clock_alarm']"
120,Which sound event occurs after brushing_teeth sound?,audios/120.wav,airplane,Dog,Car horn,Frog,A,"['/home/data/ESC-50/ESC-50-master/audio/3-126391-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/3-143562-A-47.wav', '/home/data/ESC-50/ESC-50-master/audio/4-218199-F-35.wav']","['brushing_teeth', 'airplane', 'washing_machine']"
121,Which sound event occurs second?,audios/121.wav,wind,Crickets,Clock tick,Laughing,A,"['/home/data/ESC-50/ESC-50-master/audio/1-24524-C-19.wav', '/home/data/ESC-50/ESC-50-master/audio/2-109371-C-16.wav', '/home/data/ESC-50/ESC-50-master/audio/3-155584-A-14.wav']","['thunderstorm', 'wind', 'chirping_birds']"
122,Which sound event occurs after airplane sound?,audios/122.wav,Sea waves,can_opening,Fireworks,Sheep,B,"['/home/data/ESC-50/ESC-50-master/audio/2-74361-A-47.wav', '/home/data/ESC-50/ESC-50-master/audio/2-83667-A-34.wav']","['airplane', 'can_opening']"
123,Which sound event occurs second?,audios/123.wav,"Drinking, sipping",Can opening,Hand saw,door_wood_knock,D,"['/home/data/ESC-50/ESC-50-master/audio/3-115387-B-47.wav', '/home/data/ESC-50/ESC-50-master/audio/5-251426-A-30.wav']","['airplane', 'door_wood_knock']"
124,Which sound event occurs third?,audios/124.wav,Cow,hen,Vacuum cleaner,Sneezing,B,"['/home/data/ESC-50/ESC-50-master/audio/3-150363-A-38.wav', '/home/data/ESC-50/ESC-50-master/audio/2-84943-A-18.wav', '/home/data/ESC-50/ESC-50-master/audio/3-188390-A-6.wav', '/home/data/ESC-50/ESC-50-master/audio/2-28314-B-12.wav']","['clock_tick', 'toilet_flush', 'hen', 'crackling_fire']"
125,Which sound event occurs after train sound?,audios/125.wav,Footsteps,can_opening,Pig,Helicopter,B,"['/home/data/ESC-50/ESC-50-master/audio/2-114280-A-0.wav', '/home/data/ESC-50/ESC-50-master/audio/3-135650-B-45.wav', '/home/data/ESC-50/ESC-50-master/audio/1-43764-A-34.wav']","['dog', 'train', 'can_opening']"
126,Which sound event occurs second?,audios/126.wav,Coughing,Vacuum cleaner,Clapping,toilet_flush,D,"['/home/data/ESC-50/ESC-50-master/audio/2-102567-A-35.wav', '/home/data/ESC-50/ESC-50-master/audio/4-152958-A-18.wav']","['washing_machine', 'toilet_flush']"
127,Which sound event occurs second?,audios/127.wav,Siren,vacuum_cleaner,Washing machine,Breathing,B,"['/home/data/ESC-50/ESC-50-master/audio/3-155312-A-0.wav', '/home/data/ESC-50/ESC-50-master/audio/4-181999-A-36.wav']","['dog', 'vacuum_cleaner']"
132,Which sound event occurs second?,audios/132.wav,Crying baby,Snoring,Crow,chirping_birds,D,"['/home/data/ESC-50/ESC-50-master/audio/4-204115-A-39.wav', '/home/data/ESC-50/ESC-50-master/audio/4-187769-B-14.wav', '/home/data/ESC-50/ESC-50-master/audio/4-198360-B-49.wav', '/home/data/ESC-50/ESC-50-master/audio/3-103401-B-33.wav']","['glass_breaking', 'chirping_birds', 'hand_saw', 'door_wood_creaks']"
136,Which sound event occurs first?,audios/136.wav,Insects (flying),Helicopter,clock_tick,Pouring water,C,"['/home/data/ESC-50/ESC-50-master/audio/2-141584-A-38.wav', '/home/data/ESC-50/ESC-50-master/audio/3-152594-A-30.wav', '/home/data/ESC-50/ESC-50-master/audio/3-108791-A-18.wav', '/home/data/ESC-50/ESC-50-master/audio/4-250869-A-2.wav']","['clock_tick', 'door_wood_knock', 'toilet_flush', 'pig']"
137,Which sound event occurs second?,audios/137.wav,Crackling fire,chirping_birds,Dog,Airplane,B,"['/home/data/ESC-50/ESC-50-master/audio/3-145577-A-43.wav', '/home/data/ESC-50/ESC-50-master/audio/5-243459-A-14.wav']","['car_horn', 'chirping_birds']"
138,Which sound event occurs third?,audios/138.wav,insects,Helicopter,Clock alarm,Car horn,A,"['/home/data/ESC-50/ESC-50-master/audio/2-61311-A-12.wav', '/home/data/ESC-50/ESC-50-master/audio/2-82071-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/3-104761-B-7.wav', '/home/data/ESC-50/ESC-50-master/audio/2-144031-A-34.wav']","['crackling_fire', 'brushing_teeth', 'insects', 'can_opening']"
140,Which sound event occurs third?,audios/140.wav,Vacuum cleaner,Keyboard typing,snoring,Siren,C,"['/home/data/ESC-50/ESC-50-master/audio/4-172736-B-36.wav', '/home/data/ESC-50/ESC-50-master/audio/3-112356-A-18.wav', '/home/data/ESC-50/ESC-50-master/audio/4-183882-A-28.wav', '/home/data/ESC-50/ESC-50-master/audio/3-104761-B-7.wav']","['vacuum_cleaner', 'toilet_flush', 'snoring', 'insects']"
142,Which sound event occurs after wind sound?,audios/142.wav,Insects (flying),rooster,Rain,Water drops,B,"['/home/data/ESC-50/ESC-50-master/audio/5-179496-B-16.wav', '/home/data/ESC-50/ESC-50-master/audio/5-233160-A-1.wav', '/home/data/ESC-50/ESC-50-master/audio/1-34094-B-5.wav', '/home/data/ESC-50/ESC-50-master/audio/3-155578-A-14.wav']","['wind', 'rooster', 'cat', 'chirping_birds']"
143,Which sound event occurs third?,audios/143.wav,sea_waves,Sneezing,Engine,Church bells,A,"['/home/data/ESC-50/ESC-50-master/audio/5-103416-A-2.wav', '/home/data/ESC-50/ESC-50-master/audio/4-119648-A-48.wav', '/home/data/ESC-50/ESC-50-master/audio/3-144827-B-11.wav', '/home/data/ESC-50/ESC-50-master/audio/2-120218-A-30.wav']","['pig', 'fireworks', 'sea_waves', 'door_wood_knock']"
144,Which sound event occurs second?,audios/144.wav,Wind,Door knock,Dog,helicopter,D,"['/home/data/ESC-50/ESC-50-master/audio/4-172500-C-27.wav', '/home/data/ESC-50/ESC-50-master/audio/3-68630-B-40.wav', '/home/data/ESC-50/ESC-50-master/audio/4-201300-A-31.wav', '/home/data/ESC-50/ESC-50-master/audio/3-95695-B-5.wav']","['brushing_teeth', 'helicopter', 'mouse_click', 'cat']"
146,Which sound event occurs second?,audios/146.wav,footsteps,"Drinking, sipping",Mouse click,Crow,A,"['/home/data/ESC-50/ESC-50-master/audio/5-133989-A-42.wav', '/home/data/ESC-50/ESC-50-master/audio/1-155858-C-25.wav', '/home/data/ESC-50/ESC-50-master/audio/4-119648-B-48.wav']","['siren', 'footsteps', 'fireworks']"
147,Which sound event occurs second?,audios/147.wav,Sea waves,Crickets,wind,"Door, wood creaks",C,"['/home/data/ESC-50/ESC-50-master/audio/3-152007-B-20.wav', '/home/data/ESC-50/ESC-50-master/audio/1-69760-A-16.wav']","['crying_baby', 'wind']"
148,Which sound event occurs second?,audios/148.wav,dog,Door knock,Mouse click,Pouring water,A,"['/home/data/ESC-50/ESC-50-master/audio/5-216131-A-32.wav', '/home/data/ESC-50/ESC-50-master/audio/4-194754-A-0.wav', '/home/data/ESC-50/ESC-50-master/audio/4-111671-B-42.wav']","['keyboard_typing', 'dog', 'siren']"
149,Which sound event occurs first?,audios/149.wav,Cow,crackling_fire,Hen,Clock alarm,B,"['/home/data/ESC-50/ESC-50-master/audio/3-65748-A-12.wav', '/home/data/ESC-50/ESC-50-master/audio/5-191497-A-33.wav']","['crackling_fire', 'door_wood_creaks']"
150,Which sound event occurs second?,audios/150.wav,Wind,snoring,Rain,Sneezing,B,"['/home/data/ESC-50/ESC-50-master/audio/1-172649-D-40.wav', '/home/data/ESC-50/ESC-50-master/audio/2-52001-A-28.wav', '/home/data/ESC-50/ESC-50-master/audio/3-119120-B-48.wav']","['helicopter', 'snoring', 'fireworks']"
151,Which sound event occurs after snoring sound?,audios/151.wav,Airplane,engine,Can opening,Church bells,B,"['/home/data/ESC-50/ESC-50-master/audio/4-250864-A-8.wav', '/home/data/ESC-50/ESC-50-master/audio/1-56269-A-18.wav', '/home/data/ESC-50/ESC-50-master/audio/1-27403-A-28.wav', '/home/data/ESC-50/ESC-50-master/audio/5-243773-B-44.wav']","['sheep', 'toilet_flush', 'snoring', 'engine']"
152,Which sound event occurs after train sound?,audios/152.wav,rain,Siren,Crying baby,Crickets,A,"['/home/data/ESC-50/ESC-50-master/audio/3-138212-A-45.wav', '/home/data/ESC-50/ESC-50-master/audio/5-194892-A-10.wav']","['train', 'rain']"
153,Which sound event occurs second?,audios/153.wav,Frog,Vacuum cleaner,Helicopter,laughing,D,"['/home/data/ESC-50/ESC-50-master/audio/1-32373-A-35.wav', '/home/data/ESC-50/ESC-50-master/audio/2-79769-A-26.wav']","['washing_machine', 'laughing']"
154,Which sound event occurs after drinking_sipping sound?,audios/154.wav,Coughing,"Door, wood creaks",insects,Frog,C,"['/home/data/ESC-50/ESC-50-master/audio/2-102581-B-29.wav', '/home/data/ESC-50/ESC-50-master/audio/4-191246-B-7.wav']","['drinking_sipping', 'insects']"
155,Which sound event occurs fourth?,audios/155.wav,Clapping,pouring_water,Footsteps,Pouring water,B,"['/home/data/ESC-50/ESC-50-master/audio/4-126046-A-18.wav', '/home/data/ESC-50/ESC-50-master/audio/4-181708-A-32.wav', '/home/data/ESC-50/ESC-50-master/audio/4-168446-A-45.wav', '/home/data/ESC-50/ESC-50-master/audio/2-126433-A-17.wav']","['toilet_flush', 'keyboard_typing', 'train', 'pouring_water']"
156,Which sound event occurs second?,audios/156.wav,"Drinking, sipping",Water drops,Sneezing,crow,D,"['/home/data/ESC-50/ESC-50-master/audio/2-102568-A-35.wav', '/home/data/ESC-50/ESC-50-master/audio/5-242711-A-9.wav', '/home/data/ESC-50/ESC-50-master/audio/5-178997-A-24.wav']","['washing_machine', 'crow', 'coughing']"
158,Which sound event occurs after toilet_flush sound?,audios/158.wav,Dog,Laughing,church_bells,Mouse click,C,"['/home/data/ESC-50/ESC-50-master/audio/3-112356-A-18.wav', '/home/data/ESC-50/ESC-50-master/audio/5-201172-A-46.wav']","['toilet_flush', 'church_bells']"
159,Which sound event occurs third?,audios/159.wav,Clock alarm,Laughing,crow,Crow,C,"['/home/data/ESC-50/ESC-50-master/audio/5-117122-A-42.wav', '/home/data/ESC-50/ESC-50-master/audio/4-204683-A-31.wav', '/home/data/ESC-50/ESC-50-master/audio/3-127890-C-9.wav', '/home/data/ESC-50/ESC-50-master/audio/3-151255-A-28.wav']","['siren', 'mouse_click', 'crow', 'snoring']"
160,Which sound event occurs first?,audios/160.wav,Crow,fireworks,Rain,"Door, wood creaks",B,"['/home/data/ESC-50/ESC-50-master/audio/3-119120-E-48.wav', '/home/data/ESC-50/ESC-50-master/audio/2-83667-A-34.wav', '/home/data/ESC-50/ESC-50-master/audio/2-98676-A-24.wav', '/home/data/ESC-50/ESC-50-master/audio/5-207836-D-29.wav']","['fireworks', 'can_opening', 'coughing', 'drinking_sipping']"
161,Which sound event occurs third?,audios/161.wav,laughing,Breathing,Laughing,Crying baby,A,"['/home/data/ESC-50/ESC-50-master/audio/1-34497-A-14.wav', '/home/data/ESC-50/ESC-50-master/audio/3-96606-A-49.wav', '/home/data/ESC-50/ESC-50-master/audio/4-167571-A-26.wav']","['chirping_birds', 'hand_saw', 'laughing']"
163,Which sound event occurs fourth?,audios/163.wav,Chainsaw,Fireworks,Crying baby,door_wood_creaks,D,"['/home/data/ESC-50/ESC-50-master/audio/4-184434-A-21.wav', '/home/data/ESC-50/ESC-50-master/audio/1-18074-A-6.wav', '/home/data/ESC-50/ESC-50-master/audio/2-110417-B-28.wav', '/home/data/ESC-50/ESC-50-master/audio/4-107122-A-33.wav']","['sneezing', 'hen', 'snoring', 'door_wood_creaks']"
165,Which sound event occurs third?,audios/165.wav,Car horn,Toilet flush,Water drops,coughing,D,"['/home/data/ESC-50/ESC-50-master/audio/3-155234-A-43.wav', '/home/data/ESC-50/ESC-50-master/audio/4-264453-A-34.wav', '/home/data/ESC-50/ESC-50-master/audio/5-204604-A-24.wav']","['car_horn', 'can_opening', 'coughing']"
167,Which sound event occurs after airplane sound?,audios/167.wav,Water drops,cat,Brushing teeth,Laughing,B,"['/home/data/ESC-50/ESC-50-master/audio/4-161103-A-47.wav', '/home/data/ESC-50/ESC-50-master/audio/1-56380-B-5.wav']","['airplane', 'cat']"
168,Which sound event occurs first?,audios/168.wav,Pouring water,Sheep,train,Crying baby,C,"['/home/data/ESC-50/ESC-50-master/audio/3-138212-A-45.wav', '/home/data/ESC-50/ESC-50-master/audio/1-18074-B-6.wav', '/home/data/ESC-50/ESC-50-master/audio/1-27405-A-28.wav', '/home/data/ESC-50/ESC-50-master/audio/3-143929-A-10.wav']","['train', 'hen', 'snoring', 'rain']"
169,Which sound event occurs second?,audios/169.wav,Laughing,clapping,Train,Door knock,B,"['/home/data/ESC-50/ESC-50-master/audio/3-98771-A-18.wav', '/home/data/ESC-50/ESC-50-master/audio/4-189832-B-22.wav']","['toilet_flush', 'clapping']"
