question,id,audio_path,optionA,optionB,optionC,optionD,correct,source_wavs,source_categories
What is the total number of unique sounds heard in this audio?,114,audios/114.wav,1,4,3,2,D,"['/home/data/ESC-50/ESC-50-master/audio/5-211197-A-24.wav', '/home/data/ESC-50/ESC-50-master/audio/5-211197-A-24.wav', '/home/data/ESC-50/ESC-50-master/audio/5-186924-A-12.wav', '/home/data/ESC-50/ESC-50-master/audio/5-186924-A-12.wav']","['coughing', 'coughing', 'crackling_fire', 'crackling_fire']"
How many distinct sound categories are there in this audio file?,115,audios/115.wav,4,2,3,5,C,"['/home/data/ESC-50/ESC-50-master/audio/5-201664-A-18.wav', '/home/data/ESC-50/ESC-50-master/audio/5-217158-A-0.wav', '/home/data/ESC-50/ESC-50-master/audio/3-142349-A-17.wav']","['toilet_flush', 'dog', 'pouring_water']"
Determine the number of unique sound sources in this recording.,116,audios/116.wav,4,2,3,1,B,"['/home/data/ESC-50/ESC-50-master/audio/4-156843-A-21.wav', '/home/data/ESC-50/ESC-50-master/audio/4-156843-A-21.wav', '/home/data/ESC-50/ESC-50-master/audio/3-119120-E-48.wav', '/home/data/ESC-50/ESC-50-master/audio/4-156843-A-21.wav']","['sneezing', 'sneezing', 'fireworks', 'sneezing']"
How many separate sound sources are included in the audio?,117,audios/117.wav,2,3,1,0,C,"['/home/data/ESC-50/ESC-50-master/audio/4-59579-A-20.wav', '/home/data/ESC-50/ESC-50-master/audio/4-59579-A-20.wav', '/home/data/ESC-50/ESC-50-master/audio/4-59579-A-20.wav', '/home/data/ESC-50/ESC-50-master/audio/4-59579-A-20.wav']","['crying_baby', 'crying_baby', 'crying_baby', 'crying_baby']"
What is the total number of unique sound types in this audio?,118,audios/118.wav,3,0,2,1,D,['/home/data/ESC-50/ESC-50-master/audio/5-223099-B-32.wav'],['keyboard_typing']
How many different sound sources can be heard in this clip?,119,audios/119.wav,3,0,1,2,C,['/home/data/ESC-50/ESC-50-master/audio/5-244315-B-6.wav'],['hen']
How many unique types of sound are present in this audio?,122,audios/122.wav,2,1,0,3,B,"['/home/data/ESC-50/ESC-50-master/audio/1-85168-A-39.wav', '/home/data/ESC-50/ESC-50-master/audio/1-85168-A-39.wav', '/home/data/ESC-50/ESC-50-master/audio/1-85168-A-39.wav', '/home/data/ESC-50/ESC-50-master/audio/1-85168-A-39.wav']","['glass_breaking', 'glass_breaking', 'glass_breaking', 'glass_breaking']"
What is the total number of unique sounds heard in this audio?,124,audios/124.wav,0,2,1,3,C,['/home/data/ESC-50/ESC-50-master/audio/3-126358-A-3.wav'],['cow']
How many distinct sound categories are there in this audio file?,125,audios/125.wav,0,3,1,2,C,"['/home/data/ESC-50/ESC-50-master/audio/5-213836-B-9.wav', '/home/data/ESC-50/ESC-50-master/audio/5-213836-B-9.wav', '/home/data/ESC-50/ESC-50-master/audio/5-213836-B-9.wav']","['crow', 'crow', 'crow']"
Determine the number of unique sound sources in this recording.,126,audios/126.wav,3,1,2,0,B,['/home/data/ESC-50/ESC-50-master/audio/2-250710-A-39.wav'],['glass_breaking']
How many separate sound sources are included in the audio?,127,audios/127.wav,4,1,2,3,C,"['/home/data/ESC-50/ESC-50-master/audio/4-204202-A-29.wav', '/home/data/ESC-50/ESC-50-master/audio/3-155577-A-14.wav', '/home/data/ESC-50/ESC-50-master/audio/4-204202-A-29.wav', '/home/data/ESC-50/ESC-50-master/audio/4-204202-A-29.wav', '/home/data/ESC-50/ESC-50-master/audio/3-155577-A-14.wav']","['drinking_sipping', 'chirping_birds', 'drinking_sipping', 'drinking_sipping', 'chirping_birds']"
What is the total number of unique sound types in this audio?,128,audios/128.wav,1,0,2,3,A,['/home/data/ESC-50/ESC-50-master/audio/5-249937-A-22.wav'],['clapping']
How many different sound sources can be heard in this clip?,129,audios/129.wav,5,2,4,3,D,"['/home/data/ESC-50/ESC-50-master/audio/4-188191-A-29.wav', '/home/data/ESC-50/ESC-50-master/audio/4-165813-A-19.wav', '/home/data/ESC-50/ESC-50-master/audio/1-46272-A-12.wav', '/home/data/ESC-50/ESC-50-master/audio/4-165813-A-19.wav']","['drinking_sipping', 'thunderstorm', 'crackling_fire', 'thunderstorm']"
What is the number of distinct sound sources in the audio file?,130,audios/130.wav,2,3,1,4,A,"['/home/data/ESC-50/ESC-50-master/audio/1-26806-A-1.wav', '/home/data/ESC-50/ESC-50-master/audio/1-26806-A-1.wav', '/home/data/ESC-50/ESC-50-master/audio/1-26806-A-1.wav', '/home/data/ESC-50/ESC-50-master/audio/4-186935-A-44.wav', '/home/data/ESC-50/ESC-50-master/audio/1-26806-A-1.wav']","['rooster', 'rooster', 'rooster', 'engine', 'rooster']"
How many unique types of sound are present in this audio?,132,audios/132.wav,1,3,0,2,A,"['/home/data/ESC-50/ESC-50-master/audio/1-172649-C-40.wav', '/home/data/ESC-50/ESC-50-master/audio/1-172649-C-40.wav']","['helicopter', 'helicopter']"
Identify the count of different sound sources in this clip.,133,audios/133.wav,0,2,3,1,D,['/home/data/ESC-50/ESC-50-master/audio/2-56926-A-46.wav'],['church_bells']
What is the total number of unique sounds heard in this audio?,134,audios/134.wav,2,3,4,1,A,"['/home/data/ESC-50/ESC-50-master/audio/2-74361-A-47.wav', '/home/data/ESC-50/ESC-50-master/audio/2-60795-A-26.wav', '/home/data/ESC-50/ESC-50-master/audio/2-60795-A-26.wav']","['airplane', 'laughing', 'laughing']"
Determine the number of unique sound sources in this recording.,136,audios/136.wav,2,1,0,3,B,"['/home/data/ESC-50/ESC-50-master/audio/4-175846-A-43.wav', '/home/data/ESC-50/ESC-50-master/audio/4-175846-A-43.wav']","['car_horn', 'car_horn']"
How many separate sound sources are included in the audio?,137,audios/137.wav,3,2,1,0,C,"['/home/data/ESC-50/ESC-50-master/audio/5-157204-B-16.wav', '/home/data/ESC-50/ESC-50-master/audio/5-157204-B-16.wav', '/home/data/ESC-50/ESC-50-master/audio/5-157204-B-16.wav', '/home/data/ESC-50/ESC-50-master/audio/5-157204-B-16.wav']","['wind', 'wind', 'wind', 'wind']"
What is the total number of unique sound types in this audio?,138,audios/138.wav,5,6,3,4,D,"['/home/data/ESC-50/ESC-50-master/audio/1-18074-B-6.wav', '/home/data/ESC-50/ESC-50-master/audio/4-210000-A-23.wav', '/home/data/ESC-50/ESC-50-master/audio/2-37806-C-40.wav', '/home/data/ESC-50/ESC-50-master/audio/5-180156-C-43.wav', '/home/data/ESC-50/ESC-50-master/audio/1-18074-B-6.wav']","['hen', 'breathing', 'helicopter', 'car_horn', 'hen']"
How many different sound sources can be heard in this clip?,139,audios/139.wav,3,1,2,0,B,"['/home/data/ESC-50/ESC-50-master/audio/1-196660-B-8.wav', '/home/data/ESC-50/ESC-50-master/audio/1-196660-B-8.wav', '/home/data/ESC-50/ESC-50-master/audio/1-196660-B-8.wav', '/home/data/ESC-50/ESC-50-master/audio/1-196660-B-8.wav']","['sheep', 'sheep', 'sheep', 'sheep']"
What is the number of distinct sound sources in the audio file?,140,audios/140.wav,1,2,3,0,A,['/home/data/ESC-50/ESC-50-master/audio/2-130245-A-34.wav'],['can_opening']
How many different types of sounds can be identified in this recording?,141,audios/141.wav,5,4,2,3,D,"['/home/data/ESC-50/ESC-50-master/audio/5-243773-A-44.wav', '/home/data/ESC-50/ESC-50-master/audio/5-243773-A-44.wav', '/home/data/ESC-50/ESC-50-master/audio/5-117122-A-42.wav', '/home/data/ESC-50/ESC-50-master/audio/4-161100-A-47.wav']","['engine', 'engine', 'siren', 'airplane']"
Identify the count of different sound sources in this clip.,143,audios/143.wav,1,3,2,0,A,['/home/data/ESC-50/ESC-50-master/audio/4-194246-A-13.wav'],['crickets']
What is the total number of unique sounds heard in this audio?,144,audios/144.wav,1,4,2,3,C,"['/home/data/ESC-50/ESC-50-master/audio/5-179865-A-43.wav', '/home/data/ESC-50/ESC-50-master/audio/3-188390-A-6.wav']","['car_horn', 'hen']"
How many distinct sound categories are there in this audio file?,145,audios/145.wav,3,2,1,4,B,"['/home/data/ESC-50/ESC-50-master/audio/1-4211-A-12.wav', '/home/data/ESC-50/ESC-50-master/audio/1-4211-A-12.wav', '/home/data/ESC-50/ESC-50-master/audio/2-99955-A-7.wav', '/home/data/ESC-50/ESC-50-master/audio/1-4211-A-12.wav']","['crackling_fire', 'crackling_fire', 'insects', 'crackling_fire']"
Determine the number of unique sound sources in this recording.,146,audios/146.wav,3,1,2,0,B,"['/home/data/ESC-50/ESC-50-master/audio/5-156026-D-4.wav', '/home/data/ESC-50/ESC-50-master/audio/5-156026-D-4.wav']","['frog', 'frog']"
How many separate sound sources are included in the audio?,147,audios/147.wav,4,2,3,1,B,"['/home/data/ESC-50/ESC-50-master/audio/1-103298-A-9.wav', '/home/data/ESC-50/ESC-50-master/audio/5-253101-B-49.wav']","['crow', 'hand_saw']"
What is the total number of unique sound types in this audio?,148,audios/148.wav,2,3,1,4,A,"['/home/data/ESC-50/ESC-50-master/audio/1-28135-B-11.wav', '/home/data/ESC-50/ESC-50-master/audio/2-160128-A-7.wav']","['sea_waves', 'insects']"
What is the number of distinct sound sources in the audio file?,150,audios/150.wav,1,3,0,2,A,"['/home/data/ESC-50/ESC-50-master/audio/1-43807-B-47.wav', '/home/data/ESC-50/ESC-50-master/audio/1-43807-B-47.wav', '/home/data/ESC-50/ESC-50-master/audio/1-43807-B-47.wav', '/home/data/ESC-50/ESC-50-master/audio/1-43807-B-47.wav', '/home/data/ESC-50/ESC-50-master/audio/1-43807-B-47.wav']","['airplane', 'airplane', 'airplane', 'airplane', 'airplane']"
How many different types of sounds can be identified in this recording?,151,audios/151.wav,4,2,1,3,B,"['/home/data/ESC-50/ESC-50-master/audio/3-253084-B-2.wav', '/home/data/ESC-50/ESC-50-master/audio/5-221529-A-39.wav', '/home/data/ESC-50/ESC-50-master/audio/5-221529-A-39.wav', '/home/data/ESC-50/ESC-50-master/audio/3-253084-B-2.wav', '/home/data/ESC-50/ESC-50-master/audio/3-253084-B-2.wav']","['pig', 'glass_breaking', 'glass_breaking', 'pig', 'pig']"
What is the total number of unique sounds heard in this audio?,154,audios/154.wav,3,0,1,2,C,"['/home/data/ESC-50/ESC-50-master/audio/1-62850-A-38.wav', '/home/data/ESC-50/ESC-50-master/audio/1-62850-A-38.wav', '/home/data/ESC-50/ESC-50-master/audio/1-62850-A-38.wav', '/home/data/ESC-50/ESC-50-master/audio/1-62850-A-38.wav']","['clock_tick', 'clock_tick', 'clock_tick', 'clock_tick']"
Determine the number of unique sound sources in this recording.,156,audios/156.wav,2,1,0,3,B,"['/home/data/ESC-50/ESC-50-master/audio/4-185575-A-20.wav', '/home/data/ESC-50/ESC-50-master/audio/4-185575-A-20.wav', '/home/data/ESC-50/ESC-50-master/audio/4-185575-A-20.wav', '/home/data/ESC-50/ESC-50-master/audio/4-185575-A-20.wav']","['crying_baby', 'crying_baby', 'crying_baby', 'crying_baby']"
What is the total number of unique sound types in this audio?,158,audios/158.wav,1,0,2,3,A,"['/home/data/ESC-50/ESC-50-master/audio/5-219242-B-37.wav', '/home/data/ESC-50/ESC-50-master/audio/5-219242-B-37.wav']","['clock_alarm', 'clock_alarm']"
How many different sound sources can be heard in this clip?,159,audios/159.wav,5,2,3,4,C,"['/home/data/ESC-50/ESC-50-master/audio/3-119120-C-48.wav', '/home/data/ESC-50/ESC-50-master/audio/3-119120-C-48.wav', '/home/data/ESC-50/ESC-50-master/audio/1-76831-A-42.wav', '/home/data/ESC-50/ESC-50-master/audio/5-220939-A-27.wav']","['fireworks', 'fireworks', 'siren', 'brushing_teeth']"
What is the number of distinct sound sources in the audio file?,160,audios/160.wav,1,4,3,2,D,"['/home/data/ESC-50/ESC-50-master/audio/4-173865-B-9.wav', '/home/data/ESC-50/ESC-50-master/audio/2-70939-A-42.wav', '/home/data/ESC-50/ESC-50-master/audio/2-70939-A-42.wav', '/home/data/ESC-50/ESC-50-master/audio/4-173865-B-9.wav', '/home/data/ESC-50/ESC-50-master/audio/2-70939-A-42.wav']","['crow', 'siren', 'siren', 'crow', 'siren']"
How many different types of sounds can be identified in this recording?,161,audios/161.wav,2,4,1,3,A,"['/home/data/ESC-50/ESC-50-master/audio/5-238938-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/5-260875-A-35.wav', '/home/data/ESC-50/ESC-50-master/audio/5-238938-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/5-238938-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/5-260875-A-35.wav']","['brushing_teeth', 'washing_machine', 'brushing_teeth', 'brushing_teeth', 'washing_machine']"
How many unique types of sound are present in this audio?,162,audios/162.wav,3,4,1,2,D,"['/home/data/ESC-50/ESC-50-master/audio/2-114587-A-0.wav', '/home/data/ESC-50/ESC-50-master/audio/2-60900-A-22.wav', '/home/data/ESC-50/ESC-50-master/audio/2-60900-A-22.wav']","['dog', 'clapping', 'clapping']"
What is the total number of unique sounds heard in this audio?,164,audios/164.wav,2,3,1,4,A,"['/home/data/ESC-50/ESC-50-master/audio/3-144259-A-29.wav', '/home/data/ESC-50/ESC-50-master/audio/3-144259-A-29.wav', '/home/data/ESC-50/ESC-50-master/audio/3-144692-A-21.wav', '/home/data/ESC-50/ESC-50-master/audio/3-144692-A-21.wav']","['drinking_sipping', 'drinking_sipping', 'sneezing', 'sneezing']"
Determine the number of unique sound sources in this recording.,166,audios/166.wav,2,4,3,5,C,"['/home/data/ESC-50/ESC-50-master/audio/1-9841-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/3-172922-A-48.wav', '/home/data/ESC-50/ESC-50-master/audio/4-172742-A-32.wav', '/home/data/ESC-50/ESC-50-master/audio/4-172742-A-32.wav']","['crickets', 'fireworks', 'keyboard_typing', 'keyboard_typing']"
How many separate sound sources are included in the audio?,167,audios/167.wav,2,3,4,5,B,"['/home/data/ESC-50/ESC-50-master/audio/2-91912-A-33.wav', '/home/data/ESC-50/ESC-50-master/audio/4-111671-A-42.wav', '/home/data/ESC-50/ESC-50-master/audio/5-192191-A-19.wav', '/home/data/ESC-50/ESC-50-master/audio/4-111671-A-42.wav', '/home/data/ESC-50/ESC-50-master/audio/4-111671-A-42.wav']","['door_wood_creaks', 'siren', 'thunderstorm', 'siren', 'siren']"
What is the total number of unique sound types in this audio?,168,audios/168.wav,2,3,4,1,A,"['/home/data/ESC-50/ESC-50-master/audio/4-191246-B-7.wav', '/home/data/ESC-50/ESC-50-master/audio/1-187207-A-20.wav', '/home/data/ESC-50/ESC-50-master/audio/1-187207-A-20.wav']","['insects', 'crying_baby', 'crying_baby']"
